Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-27
Cash & Equivalents,0.14,0.27,0.55,0.78,0.92,1.03,0.02,-,0.03
Cash & Cash Equivalents,0.14,0.27,0.55,0.78,0.92,1.03,0.02,0,0.03
Cash Growth,-84.59%,-73.60%,2178.33%,-,3573.84%,-,-,-,-
Other Current Assets,0,0.09,0.11,0.27,0.44,0.6,-,-,-
Total Current Assets,0.14,0.37,0.66,1.05,1.36,1.63,-,-,-
Long-Term Investments,101.83,208.93,204.21,203.3,203.02,203,-,-,-
Total Long-Term Assets,101.83,208.93,204.21,203.3,203.02,203,-,-,-
Total Assets,101.98,209.3,204.87,204.35,204.38,204.63,0.28,-,0.14
Accounts Payable,0,0,0.05,0,0,0,0,-,0
Current Debt,0,0,0,0,0,0,0.19,-,0.05
Other Current Liabilities,3.26,2.85,1.91,1.24,0.28,0.08,0.1,-,0.09
Total Current Liabilities,3.26,2.85,1.96,1.24,0.28,0.08,0.29,-,0.14
Other Long-Term Liabilities,6,6,6,6,6,6,0,-,0
Total Long-Term Liabilities,6,6,6,6,6,6,0,-,0
Total Liabilities,9.26,8.85,7.96,7.24,6.28,6.08,0.29,-,0.14
Total Debt,0,0,0,0,0,0,0.19,-,0.05
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-9.12,-8.49,-7.3,-6.19,-4.91,-4.44,-0.03,-,-0.03
Shareholders' Equity,-9.12,-8.49,-7.3,-6.18,-4.9,-4.44,-0,-,-0
Total Liabilities and Equity,0.14,0.37,0.66,1.05,1.38,1.63,0.28,-,0.14
Net Cash / Debt,0.14,0.27,0.55,0.78,0.92,1.03,-0.16,0,-0.03
Net Cash / Debt Growth,-84.59%,-73.60%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.02,0.03,0.04,0.14,-0.03,-,-
Working Capital,-3.12,-2.49,-1.3,-0.18,1.07,1.56,-,-,-
Book Value Per Share,-0.45,-0.33,-0.28,-0.24,-0.19,-0.60,-0.00,-,-
