Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.55,0.61,0.78,0.82,0
Cash & Cash Equivalents,0.55,0.61,0.78,0.82,0
Other Current Assets,-0.49,-0.47,-0.47,-0.45,-
Total Current Assets,0.06,0.14,0.31,0.37,-
Long-Term Investments,94.26,93.47,93.05,92.93,-
Other Long-Term Assets,0.5,0.5,0.5,0.5,-
Total Long-Term Assets,94.76,93.97,93.55,93.43,-
Total Assets,94.82,94.12,93.86,93.8,0.27
Accounts Payable,0.1,0.09,0.08,0.06,0
Current Debt,0.25,0,0,0,0.27
Total Current Liabilities,0.35,0.09,0.08,0.06,0.27
Other Long-Term Liabilities,3.22,3.22,3.22,3.22,0
Total Long-Term Liabilities,3.22,3.22,3.22,3.22,0
Total Liabilities,3.57,3.31,3.3,3.28,0.27
Total Debt,0.25,0,0,0,0.27
Debt Growth,-5.68%,-,-,-,-
Common Stock,0,0,0,0,0.03
Retained Earnings,-3.01,-2.66,-2.49,-2.4,-0.02
Shareholders' Equity,-3.01,-2.66,-2.49,-2.4,0.01
Total Liabilities and Equity,0.56,0.64,0.81,0.87,0.27
Net Cash / Debt,0.3,0.61,0.78,0.82,-0.27
Net Cash Per Share,0.03,0.05,0.12,0.10,-0.13
Working Capital,-0.29,0.06,0.23,0.32,-
Book Value Per Share,-0.25,-0.22,-0.40,-0.29,0.00
