Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0,0,0,0.08,0.16,0.45,0.62,0.72,0,0
Cash & Cash Equivalents,0,0,0,0.08,0.16,0.45,0.62,0.72,0,0
Cash Growth,-99.63%,-99.84%,-99.89%,-88.57%,-,-,-,-,-,-
Other Current Assets,0.02,0.15,0.29,0.42,0.45,0.57,0.68,0.81,0.02,0.01
Total Current Assets,0.02,0.15,0.29,0.5,0.62,1.01,1.31,1.53,0.02,0.01
Long-Term Investments,380.36,376.5,375.3,375.04,375.03,375.02,375.01,375,0,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.38,0.21
Total Long-Term Assets,380.36,376.5,375.3,375.04,375.03,375.02,375.01,375,0.38,0.21
Total Assets,380.38,376.65,375.59,375.54,375.65,376.04,376.32,376.54,0.4,0.22
Accounts Payable,0.44,0.37,0.29,0.29,0.07,0.1,0.08,0.1,0,0.18
Current Debt,0,0,0,0,0,0,0,0,0.16,0.02
Other Current Liabilities,0.18,0.05,0.02,0,0,0.13,0.12,0.1,0.25,0
Total Current Liabilities,0.62,0.42,0.31,0.29,0.07,0.23,0.2,0.2,0.41,0.21
Other Long-Term Liabilities,13.45,13.61,14.41,18.58,22.43,23.39,28.69,25.16,0,0
Total Long-Term Liabilities,13.45,13.61,14.41,18.58,22.43,23.39,28.69,25.16,0,0
Total Liabilities,14.07,14.02,14.71,18.87,22.5,23.62,28.89,25.35,0.41,0.21
Total Debt,0,0,0,0,0,0,0,0,0.16,0.02
Common Stock,0,0,0,0,0,0,9.11,5.36,0.03,0.03
Retained Earnings,-13.95,-13.77,-14.33,-18.33,-21.85,-22.58,-4.11,-0.36,-0.03,-0.01
Shareholders' Equity,-13.95,-13.77,-14.33,-18.33,-21.85,-22.58,5,5,-0.01,0.01
Total Liabilities and Equity,0.12,0.25,0.39,0.54,0.65,1.04,33.89,30.35,0.4,0.22
Net Cash / Debt,0,0,0,0.08,0.16,0.45,0.62,0.72,-0.16,-0.02
Net Cash / Debt Growth,-99.63%,-99.84%,-99.89%,-88.57%,-,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,-0.02,-0.00
Working Capital,-0.6,-0.26,-0.02,0.21,0.55,0.79,1.11,1.34,-0.39,-0.19
Book Value Per Share,-0.30,-0.29,-0.31,-0.39,-0.47,-0.48,0.11,0.12,-0.00,0.00
