Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-16
Cash & Equivalents,0.43,0.5,0.59,0.92,1.03,0,0,0
Cash & Cash Equivalents,0.43,0.5,0.59,0.92,1.03,0,0,0
Cash Growth,-58.41%,-,-,-,-,-,-,-
Other Current Assets,0.06,0.25,0.45,0.59,0.72,-,-,-
Total Current Assets,0.49,0.75,1.03,1.51,1.75,-,-,-
Long-Term Investments,230.6,228.49,227.54,227.3,227.26,-,-,-
Other Long-Term Assets,0,0,0,0,0.05,-,-,-
Total Long-Term Assets,230.6,228.49,227.54,227.3,227.31,-,-,-
Total Assets,231.09,229.24,228.58,228.81,229.07,0.54,0.25,0.05
Accounts Payable,0.5,0.36,0.32,0.28,0.04,0,0,0
Other Current Liabilities,0.47,0.01,0.01,0.16,0.19,-,-,-
Total Current Liabilities,0.97,0.37,0.33,0.44,0.24,-,-,-
Other Long-Term Liabilities,8.37,12.08,16.29,17.89,18.92,-,-,-
Total Long-Term Liabilities,8.37,12.08,16.29,17.89,18.92,-,-,-
Total Liabilities,9.34,12.45,16.61,18.33,19.16,0.53,0.24,0.04
Total Debt,0,0,0,0,0,0.15,0.06,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-8.85,-11.7,-15.58,-16.82,-17.36,-0.02,-0.01,-0.01
Shareholders' Equity,-8.85,-11.7,-15.58,-16.82,-17.36,0.01,0.02,0.02
Total Liabilities and Equity,0.49,0.75,1.03,1.51,1.8,0.54,0.25,0.05
Net Cash / Debt,0.43,0.5,0.59,0.92,1.03,-0.15,-0.06,0
Net Cash / Debt Growth,-58.41%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.03,0.10,-0.03,-0.01,-
Working Capital,-0.48,0.38,0.71,1.07,1.52,-,-,-
Book Value Per Share,-0.32,-0.42,-0.55,-0.60,-1.64,0.00,0.00,-
