Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-20
Cash & Equivalents,0.6,0.06,0.27,0.73,0.92,0,0,0
Cash & Cash Equivalents,0.6,0.06,0.27,0.73,0.92,0,0,0
Cash Growth,-35.13%,1526.90%,-,-,-,-,-,-
Other Current Assets,0.14,0.28,0.42,0.46,0.46,0,-,-
Total Current Assets,0.74,0.34,0.69,1.2,1.39,0,-,-
Long-Term Investments,358.73,355.74,354.13,353.66,353.63,0,-,-
Other Long-Term Assets,0,0,0,0.03,0.14,0.64,-,-
Total Long-Term Assets,358.73,355.74,354.13,353.69,353.77,0.64,-,-
Total Assets,359.47,356.08,354.82,354.89,355.16,0.64,0.53,0.05
Accounts Payable,0.04,0.04,0.07,0.24,0.17,0,0,0
Current Debt,0.75,0,0,0,0,0.15,0.1,0
Other Current Liabilities,1.11,1.11,0.99,0.64,0.59,0.48,0.42,0.04
Total Current Liabilities,1.9,1.15,1.06,0.87,0.76,0.63,0.52,0.04
Other Long-Term Liabilities,14.93,14.46,15.07,20.78,30.27,0,0,0
Total Long-Term Liabilities,14.93,14.46,15.07,20.78,30.27,0,0,0
Total Liabilities,16.83,15.61,16.14,21.65,31.03,0.63,0.52,0.04
Total Debt,0.75,0,0,0,0,0.15,0.1,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-15.99,-15.17,-14.94,-20.39,-29.5,-0.01,-0.01,-0.01
Shareholders' Equity,-15.99,-15.17,-14.94,-20.39,-29.5,0.01,0.01,0.01
Total Liabilities and Equity,0.84,0.44,1.2,1.26,1.54,0.64,0.53,0.05
Net Cash / Debt,-0.15,0.06,0.27,0.73,0.92,-0.15,-0.1,0
Net Cash Per Share,-0.00,0.00,0.01,0.02,0.05,-0.02,-0.02,-
Working Capital,-1.16,-0.81,-0.37,0.32,0.62,-0.63,-,-
Book Value Per Share,-0.37,-0.35,-0.35,-0.47,-1.52,0.00,0.00,-
