Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+101 Quarters
Cash & Equivalents,"26,747","35,811","32,626","30,608","39,113","88,184","69,989","42,298","60,054","47,990","26,817","36,074","42,640","64,175","74,776","44,634","26,139","30,361","41,438","64,561","57,881","31,583","42,706","26,418","96,464","86,370","84,835","72,679","58,342","71,730","66,260","66,587","63,711","63,269","62,380","55,455","48,948","48,186","42,079","35,695",Upgrade
Short-Term Investments,"103,869","92,774","76,332","74,803","67,145","58,535","79,209","101,760","85,385","90,300","118,906","110,518","94,623","63,822","53,378","77,745","88,029","81,506","62,205","46,538","50,681","84,371","66,594","73,331","22,902","23,432","24,613","23,744","24,519","25,988","27,119","27,224","27,366","27,397","28,721","29,175","29,101","28,785","28,872","28,756",Upgrade
Cash & Cash Equivalents,"130,616","128,585","108,958","105,411","106,258","146,719","149,198","144,058","145,439","138,290","145,723","146,592","137,263","127,997","128,154","122,379","114,168","111,867","103,643","111,099","108,562","115,954","109,300","99,749","119,366","109,802","109,448","96,423","82,861","97,718","93,379","93,811","91,077","90,666","91,101","84,630","78,049","76,971","70,951","64,451",Upgrade
Cash Growth,22.92%,-12.36%,-26.97%,-26.83%,-26.94%,6.10%,2.38%,-1.73%,5.96%,8.04%,13.71%,19.79%,20.23%,14.42%,23.65%,10.15%,5.16%,-3.52%,-5.18%,11.38%,-9.05%,5.60%,-0.14%,3.45%,44.06%,12.37%,17.21%,2.78%,-9.02%,7.78%,2.50%,10.85%,16.69%,17.79%,28.40%,31.31%,-2.06%,-1.87%,48.51%,58.51%,Upgrade
Receivables,"52,488","48,301","45,368","44,493","43,055","39,565","41,601","40,273","39,052","35,852","37,815","36,766","37,957","35,835","38,152","37,582","37,170","35,230","31,884","31,280","30,906","28,578","29,652","28,953","28,870","27,097","27,544","27,162","27,190","23,303","24,484","24,606","24,006","21,852","24,017","22,997","22,717","20,497","27,145","21,956",Upgrade
Other Current Assets,"-147,716",0,0,0,0,0,"-190,799","-184,331","-184,491","-174,142","-183,538","-183,358","-175,220","-163,832","-166,306","-159,961","-151,338","-147,097","-135,527","-142,379","-139,468","-144,532","-138,952","-128,702","-148,236","-136,899","-136,992","-123,585","-110,051","-121,021","-117,863","-118,417","-115,083","-112,518","-115,118","-107,627","-100,766","-97,468","-98,096","-86,407",Upgrade
Total Current Assets,"35,388","176,886","154,326","149,904","149,313","186,284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
"Property, Plant & Equipment","205,855","196,965","192,989","192,413","191,760","191,282","188,875","188,311","187,356","187,017","176,253","174,789","173,421","174,341","171,490","169,460","167,424","166,706","165,017","163,229","162,112","158,219","156,829","154,909","153,645","152,773","152,068","150,711","149,535","145,166","143,333","140,879","138,740","137,244","129,802","127,635","125,080","122,214","110,556","108,349",Upgrade
Long-Term Investments,"480,999","454,745","429,815","441,095","496,997","443,063","424,731","446,704","404,042","409,183","400,810","354,314","310,811","348,039","310,136","315,431","316,523","291,486","299,155","256,625","254,946","287,385","256,156","248,059","172,136","159,656","141,417","142,419","153,206","160,035","159,789","155,265","153,473","155,885","158,198","159,336","158,740","157,866","134,428","131,438",Upgrade
Goodwill,"83,502","78,119","73,335","73,618","73,822","73,875","73,770","73,758","73,695","73,734","71,865","71,753","81,659","81,882","81,228","81,269","81,220","81,025","81,327","81,250","81,337","81,258","80,882","80,175","79,951","79,486","79,392","79,177","79,114","62,708","62,692","62,799","62,879","60,714","58,669","58,792","58,264","57,011","54,735","54,372",Upgrade
