Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.41,0.67,0.82,0.92,1.03,1.26,9.76,0
Short-Term Investments,294.75,291.65,289.22,0,0,0,0,-
Cash & Cash Equivalents,295.16,292.32,290.04,0.92,1.03,1.26,9.76,0
Cash Growth,28570.02%,23110.55%,2872.97%,-,-,-,-,-
Other Current Assets,0.46,0.68,0.86,0.86,0.87,0.86,-4.85,-
Total Current Assets,295.61,293,290.9,1.79,1.9,2.12,4.9,-
Long-Term Investments,0,0,0,287.92,287.53,287.51,0,-
Other Long-Term Assets,0,0,0,0.21,0.43,0.64,5.75,-
Total Long-Term Assets,0,0,0,288.14,287.96,288.15,5.75,-
Total Assets,295.61,293,290.9,289.92,289.86,290.27,10.65,0.59
Accounts Payable,0.04,0.09,0,0.01,0.02,0.03,0,0
Current Debt,0,0,0,0,0,0,0.3,0.01
Other Current Liabilities,5.13,3.42,13.55,0,0,0,10.34,0.56
Total Current Liabilities,5.17,3.51,13.56,0.01,0.02,0.03,10.64,0.57
Other Long-Term Liabilities,0,0,0,42.61,58.03,94.32,55.88,0
Total Long-Term Liabilities,0,0,0,42.61,58.03,94.32,55.88,0
Total Liabilities,5.17,3.51,13.56,42.62,58.04,94.35,66.51,0.57
Total Debt,0,0,0,0,0,0,0.3,0.01
Common Stock,0,0,0,0,0,0,0,0.6
Retained Earnings,-4.3,-2.16,-11.88,-40.62,-55.72,-91.59,-55.86,-0.01
Shareholders' Equity,-4.3,-2.16,-11.88,-40.62,-55.72,-91.59,-55.86,0.59
Total Liabilities and Equity,0.87,1.35,1.68,2,2.33,2.76,10.65,1.16
Net Cash / Debt,295.16,292.32,290.04,0.92,1.03,1.26,9.46,-0.01
Net Cash / Debt Growth,28570.02%,23110.55%,2967.29%,-,-,-,-,-
Net Cash Per Share,9.93,9.83,9.76,0.03,0.03,0.04,0.74,-0.00
Working Capital,290.44,289.49,277.34,1.77,1.88,2.09,-5.74,-
Book Value Per Share,-0.14,-0.07,-0.40,-1.37,-1.87,-3.08,-4.38,0.05
