Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-12
Cash & Equivalents,0.45,0.73,0.91,1,1.24,2.16,0,-,0
Short-Term Investments,312.89,310.03,307.12,306.29,0,0,-,-,-
Cash & Cash Equivalents,313.34,310.76,308.03,307.29,1.24,2.16,0,0,0
Cash Growth,25091.01%,14312.75%,-,-,-,-,-,-,-
Other Current Assets,0.18,0.22,0.4,0.54,0.55,0.47,-,-,-
Total Current Assets,313.52,310.97,308.43,307.83,1.8,2.62,-,-,-
Long-Term Investments,0,0,0,0,306.02,306,-,-,-
Other Long-Term Assets,0,0,0,0,0.1,0.21,-,-,-
Total Long-Term Assets,0,0,0,0,306.11,306.21,-,-,-
Total Assets,313.52,310.97,308.43,307.83,307.91,308.83,0.93,-,0.33
Accounts Payable,0.26,0.21,0.02,0.02,0,0.7,0,-,0
Current Debt,0,0,0,0,0,0,0.2,-,0
Other Current Liabilities,5.06,3.76,14.56,14.85,0.2,0.15,0.72,-,0.32
Total Current Liabilities,5.32,3.97,14.58,14.88,0.2,0.86,0.92,-,0.32
Other Long-Term Liabilities,0,0,0,0,20.48,26.7,0,-,0
Total Long-Term Liabilities,0,0,0,0,20.48,26.7,0,-,0
Total Liabilities,5.32,3.97,14.58,14.88,20.68,27.56,0.92,-,0.32
Total Debt,0,0,0,0,0,0,0.2,-,0
Common Stock,0,0,0,0.41,0.33,0,0.03,-,0.03
Retained Earnings,-4.51,-2.87,-13.26,-13.74,-19.12,-24.72,-0.02,-,-0.02
Shareholders' Equity,-4.51,-2.87,-13.26,-13.34,-18.79,-24.72,0.01,-,0.01
Total Liabilities and Equity,0.81,1.1,1.32,1.54,1.89,2.84,0.93,-,0.33
Net Cash / Debt,313.34,310.76,308.03,307.29,1.24,2.16,-0.2,0,0
Net Cash / Debt Growth,25091.01%,14312.75%,-,-,-,-,-,-,-
Net Cash Per Share,8.36,8.29,8.21,8.19,0.03,0.25,-0.03,-,-
Working Capital,308.2,307.01,293.86,292.95,1.6,1.77,-,-,-
Book Value Per Share,-0.12,-0.08,-0.35,-0.36,-0.50,-2.84,0.00,-,-
