Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,1.29,1.27,1.53,1.63,2.84,0,-,0
Cash & Cash Equivalents,1.29,1.27,1.53,1.63,2.84,0,0,0
Cash Growth,-54.72%,-,-,-,-,-,-,-
Other Current Assets,0.28,0.32,0.34,0.36,0.33,-,-,-
Total Current Assets,1.57,1.58,1.87,1.99,3.17,-,-,-
Long-Term Investments,294.4,292.11,290.79,290.4,290.38,-,-,-
Other Long-Term Assets,0,0.06,0.13,0.21,0.28,-,-,-
Total Long-Term Assets,294.4,292.17,290.92,290.61,290.66,-,-,-
Total Assets,295.97,293.75,292.79,292.6,293.83,0.25,-,0.03
Accounts Payable,0.27,0.22,0.15,0.11,1.15,0.05,-,0
Other Current Liabilities,1.54,1.01,0.9,0.8,0.56,0.18,-,0
Total Current Liabilities,1.8,1.23,1.05,0.9,1.71,0.23,-,0
Other Long-Term Liabilities,10.06,10.06,10.06,10.06,10.06,0,-,0
Total Long-Term Liabilities,10.06,10.06,10.06,10.06,10.06,0,-,0
Total Liabilities,11.86,11.29,11.11,10.97,11.77,0.23,-,0
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-9.19,-8.94,-8.71,-8.74,-8.31,-0,-,-0
Shareholders' Equity,-9.19,-8.94,-8.71,-8.74,-8.31,0.02,-,0.02
Total Liabilities and Equity,2.67,2.36,2.4,2.23,3.46,0.25,-,0.03
Net Cash / Debt,1.29,1.27,1.53,1.63,2.84,0,0,0
Net Cash / Debt Growth,-54.72%,-,-,-,-,-,-,-
Net Cash Per Share,0.04,0.04,0.04,0.05,0.35,-,-,-
Working Capital,-0.23,0.35,0.82,1.09,1.46,-,-,-
Book Value Per Share,-0.26,-0.25,-0.24,-0.24,-1.02,0.00,-,-
