Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.23,0.31,0.48,0.67,0.8,0.9,1.01,0
Cash & Cash Equivalents,0.23,0.31,0.48,0.67,0.8,0.9,1.01,0
Cash Growth,-70.94%,-66.07%,-52.58%,-,-,-,-,-
Other Current Assets,0.24,0.39,0.52,0.56,0.52,0.52,1.04,-
Total Current Assets,0.47,0.69,1,1.23,1.32,1.42,2.05,-
Long-Term Investments,152.35,151.02,150.28,150.07,150.03,150.01,150,-
Other Long-Term Assets,0,0,0,0.11,0.23,0.36,0,-
Total Long-Term Assets,152.35,151.02,150.28,150.18,150.26,150.37,150,-
Total Assets,152.82,151.71,151.28,151.41,151.59,151.79,152.05,0.4
Accounts Payable,0.19,0.18,0.07,0.12,0.03,0.01,0.05,0
Current Debt,0,0,0,0,0,0,0,0.1
Other Current Liabilities,0.01,0,0,0,0,0,0,0.3
Total Current Liabilities,0.2,0.18,0.07,0.12,0.03,0.01,0.05,0.4
Other Long-Term Liabilities,5.95,6.45,6.45,8.5,12.48,11.22,16.93,0
Total Long-Term Liabilities,5.95,6.45,6.45,8.5,12.48,11.22,16.93,0
Total Liabilities,6.15,6.62,6.52,8.63,12.51,11.23,16.98,0.4
Total Debt,0,0,0,0,0,0,0,0.1
Common Stock,0,0,0,0,0,0,4.61,0.03
Retained Earnings,-5.68,-5.93,-5.52,-7.3,-10.96,-9.45,0.39,-0.02
Shareholders' Equity,-5.68,-5.93,-5.52,-7.29,-10.96,-9.45,5,0
Total Liabilities and Equity,0.47,0.69,1,1.34,1.55,1.78,21.98,0.4
Net Cash / Debt,0.23,0.31,0.48,0.67,0.8,0.9,1.01,-0.1
Net Cash / Debt Growth,-70.94%,-66.07%,-52.58%,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.03,0.04,0.07,0.05,0.22,-0.03
Working Capital,0.28,0.52,0.93,1.1,1.29,1.41,2,-
Book Value Per Share,-0.30,-0.32,-0.29,-0.39,-0.90,-0.50,1.09,0.00
