Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-05-03
Cash & Equivalents,0.34,0.68,0.94,1.17,1.52,1.74,1.95,0.03,0.03
Cash & Cash Equivalents,0.34,0.68,0.94,1.17,1.52,1.74,1.95,0.03,0.03
Cash Growth,-77.73%,-60.98%,-51.96%,4564.56%,5990.22%,-,-,-,-
Other Current Assets,0.26,0.31,0.48,0.58,0.62,0.75,0.84,0.41,0.03
Total Current Assets,0.6,0.99,1.41,1.75,2.14,2.49,2.79,0.43,0.06
Long-Term Investments,256.35,253.64,251.48,250.35,250,250,250,0,0
Total Long-Term Assets,256.35,253.64,251.48,250.35,250,250,250,0,0
Total Assets,256.95,254.62,252.89,252.1,252.14,252.49,252.79,0.43,0.06
Current Debt,2,2,2,2,2,2,0,0,0
Other Current Liabilities,11.11,9.94,11.04,2.68,5.72,9.29,18.07,0.45,0.04
Total Current Liabilities,13.11,11.94,13.04,4.68,7.72,11.29,18.07,0.45,0.04
Other Long-Term Liabilities,0,0,0,8.75,8.75,8.75,8.75,0,0
Total Long-Term Liabilities,0,0,0,8.75,8.75,8.75,8.75,0,0
Total Liabilities,13.11,11.94,13.04,13.43,16.47,20.04,26.82,0.45,0.04
Total Debt,2,2,2,2,2,2,0,0,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-12.52,-10.96,-11.63,-11.68,-14.33,-17.55,-24.03,-0.04,-0.01
Shareholders' Equity,-12.52,-10.96,-11.63,-11.68,-14.33,-17.55,-24.03,-0.02,0.02
Total Liabilities and Equity,0.6,0.99,1.41,1.75,2.14,2.49,2.79,0.43,0.06
Net Cash / Debt,-1.66,-1.32,-1.06,-0.83,-0.48,-0.26,1.95,0.03,0.03
Net Cash Per Share,-0.05,-0.04,-0.03,-0.03,-0.02,-0.01,0.08,0.00,0.03
Working Capital,-12.52,-10.96,-11.63,-2.93,-5.58,-8.8,-15.28,-0.02,0.02
Book Value Per Share,-0.40,-0.35,-0.37,-0.37,-0.46,-0.72,-0.95,-0.00,0.02
