Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-04
Cash & Equivalents,0.27,0.38,0.61,0.87,0.81,0,0,0
Cash & Cash Equivalents,0.27,0.38,0.61,0.87,0.81,0,0,0
Cash Growth,-66.37%,59902.37%,-,-,-,-,-,-
Other Current Assets,0.2,0.26,0.27,0.27,0.38,0.61,-,-
Total Current Assets,0.47,0.64,0.87,1.14,1.19,0.61,-,-
Long-Term Investments,350.17,347.1,345.48,345.09,345.03,0,-,-
Other Long-Term Assets,0,0.03,0.11,0.19,0.19,0,-,-
Total Long-Term Assets,350.17,347.13,345.59,345.28,345.22,0,-,-
Total Assets,350.64,347.77,346.46,346.43,346.41,0.61,0.41,0.15
Accounts Payable,0.25,0.26,0.39,0.2,0.04,0,0,0
Current Debt,0,0,0,0,0,0.2,0.17,0
Other Current Liabilities,0,0,0.04,0.19,0.2,0.41,0.23,0.14
Total Current Liabilities,0.25,0.27,0.43,0.39,0.24,0.6,0.39,0.14
Other Long-Term Liabilities,14.43,14.64,16.26,19.24,25.02,0,0,0
Total Long-Term Liabilities,14.43,14.64,16.26,19.24,25.02,0,0,0
Total Liabilities,14.68,14.91,16.69,19.63,25.26,0.6,0.39,0.14
Total Debt,0,0,0,0,0,0.2,0.17,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-14.21,-14.24,-15.7,-18.29,-23.89,-0.02,-0.01,-0.01
Shareholders' Equity,-14.21,-14.24,-15.7,-18.29,-23.89,0.01,0.01,0.02
Total Liabilities and Equity,0.47,0.67,0.98,1.34,1.38,0.61,0.41,0.15
Net Cash / Debt,0.27,0.38,0.61,0.87,0.81,-0.19,-0.17,0
Net Cash / Debt Growth,-66.37%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.02,0.05,-0.03,-0.02,-
Working Capital,0.22,0.38,0.45,0.76,0.95,0.01,-,-
Book Value Per Share,-0.33,-0.33,-0.36,-0.42,-1.38,0.00,0.00,0.00
