Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.17,0.47,0.53,1.95,0.02
Cash & Cash Equivalents,0.17,0.47,0.53,1.95,0.02
Cash Growth,610.57%,-,-,-,-
Receivables,0,0,0,0.08,0
Other Current Assets,0.36,0.49,0.54,0,0
Total Current Assets,0.53,0.96,1.08,2.03,0.02
Long-Term Investments,236,234.93,234.62,234.6,0
Other Long-Term Assets,0,0,0.1,0,0.75
Total Long-Term Assets,236,234.93,234.72,234.6,0.75
Total Assets,236.53,235.89,235.8,236.63,0.77
Accounts Payable,0.23,0.31,0.02,0.02,0
Current Debt,0,0,0,0,0.06
Other Current Liabilities,0.52,0.51,0.65,1.01,0.69
Total Current Liabilities,0.75,0.82,0.67,1.02,0.75
Other Long-Term Liabilities,2.34,10.99,14.41,25.27,0
Total Long-Term Liabilities,2.34,10.99,14.41,25.27,0
Total Liabilities,3.09,11.81,15.08,26.29,0.75
Total Debt,0,0,0,0,0.06
Common Stock,0,0,0,0,0.03
Retained Earnings,-2.56,-10.85,-13.91,-24.26,-0
Shareholders' Equity,-2.56,-10.85,-13.91,-24.26,0.02
Total Liabilities and Equity,0.53,0.96,1.17,2.03,0.77
Net Cash / Debt,0.17,0.47,0.53,1.95,-0.04
Net Cash Per Share,0.01,0.02,0.02,-,-0.01
Working Capital,-0.21,0.14,0.41,1.01,-0.73
Book Value Per Share,-0.09,-0.38,-0.48,-3.30,0.01
