Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-25
Cash & Equivalents,0.21,0.22,0.35,0.51,0.98,0.05,0.01,0.03
Cash & Cash Equivalents,0.21,0.22,0.35,0.51,0.98,0.05,0.01,0.03
Cash Growth,-78.33%,345.66%,4389.95%,1944.37%,-,-,-,-
Other Current Assets,0.38,0.45,0.45,0.46,0.46,-,-,-
Total Current Assets,0.59,0.67,0.8,0.97,1.44,-,-,-
Long-Term Investments,237.37,235.8,234.96,234.68,234.62,-,-,-
Other Long-Term Assets,0,0.03,0.15,0.26,0.37,-,-,-
Total Long-Term Assets,237.37,235.83,235.11,234.94,234.99,-,-,-
Total Assets,237.97,236.5,235.91,235.91,236.42,0.45,0.33,0.14
Accounts Payable,0.49,0.3,0.4,0.16,0.34,0,0.01,0.01
Current Debt,0.18,0,0,0,0,-,0.1,0
Other Current Liabilities,0.01,0,0,0,0.01,-,0.28,0.14
Total Current Liabilities,0.67,0.3,0.4,0.16,0.35,-,0.39,0.15
Other Long-Term Liabilities,9.45,12.07,12.31,13.46,22.04,-,0,0
Total Long-Term Liabilities,9.45,12.07,12.31,13.46,22.04,-,0,0
Total Liabilities,10.12,12.37,12.71,13.61,22.39,0.55,0.39,0.15
Total Debt,0.18,0,0,0,0,0.27,0.1,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-8.54,-10.47,-11.39,-12.3,-20.56,-0.13,-0.09,-0.03
Shareholders' Equity,-8.54,-10.47,-11.39,-12.3,-20.56,-0.1,-0.06,-0.01
Total Liabilities and Equity,1.58,1.9,1.31,1.31,1.82,0.45,0.33,0.14
Net Cash / Debt,0.04,0.22,0.35,0.51,0.98,-0.22,-0.09,0.03
Net Cash / Debt Growth,-96.20%,-,-,1944.37%,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.10,-0.04,-0.02,-
Working Capital,-0.08,0.37,0.4,0.81,1.09,-,-,-
Book Value Per Share,-0.30,-0.36,-0.40,-0.43,-2.07,-0.02,-0.01,-
