Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-02-01
Cash & Equivalents,0,0.1,0.16,0.27,0.41,0.59,0,-,0
Cash & Cash Equivalents,0,0.1,0.16,0.27,0.41,0.59,0,0,0
Cash Growth,-99.77%,-83.64%,8945.87%,-,-,-,-,-,-
Other Current Assets,0.3,0.41,0.47,0.49,0.43,0.82,0,-,0
Total Current Assets,0.3,0.51,0.63,0.76,0.84,1.42,0,-,0
Long-Term Investments,253.54,251.46,250.35,250.02,250.01,250,0,-,0
Other Long-Term Assets,0,0,0.07,0.17,0.28,0,0.92,-,0.26
Total Long-Term Assets,253.54,251.46,250.42,250.2,250.28,250,0.92,-,0.26
Total Assets,253.84,251.97,251.05,250.96,251.12,251.42,0.93,-,0.26
Accounts Payable,0.4,0.44,0.42,0.35,0.29,0.03,0,-,0
Current Debt,0.02,0,0,0,0,0,0.18,-,0
Other Current Liabilities,0.68,0.68,0.68,0.68,0.69,0.81,0.73,-,0.24
Total Current Liabilities,1.11,1.12,1.1,1.03,0.98,0.84,0.91,-,0.24
Other Long-Term Liabilities,10.95,11.09,12,13.86,17.59,17.51,0,-,0
Total Long-Term Liabilities,10.95,11.09,12,13.86,17.59,17.51,0,-,0
Total Liabilities,12.06,12.21,13.1,14.89,18.57,18.35,0.91,-,0.24
Total Debt,0.02,0,0,0,0,0,0.18,-,0
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-11.76,-11.7,-12.4,-13.95,-17.45,-16.93,-0.01,-,-0.01
Shareholders' Equity,-11.76,-11.7,-12.4,-13.95,-17.45,-16.93,0.02,-,0.02
Total Liabilities and Equity,0.3,0.51,0.7,0.93,1.11,1.42,0.93,-,0.26
Net Cash / Debt,-0.02,0.1,0.16,0.27,0.41,0.59,-0.17,0,0
Net Cash / Debt Growth,-,-83.64%,-,-,-,-,-,-,-
Net Cash Per Share,-0.00,0.00,0.01,0.01,0.03,0.05,-0.03,-,-
Working Capital,-0.81,-0.61,-0.47,-0.27,-0.14,0.57,-0.9,-,-0.24
Book Value Per Share,-0.38,-0.37,-0.40,-0.45,-1.24,-1.46,0.00,-,-
