Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-13
Cash & Equivalents,0.09,0.11,0.07,0.27,0.11,0.37,0.7,2.28,0
Cash & Cash Equivalents,0.09,0.11,0.07,0.27,0.11,0.37,0.7,2.28,0
Cash Growth,-19.42%,-70.44%,-89.53%,-88.24%,-,-,-,-,-
Other Current Assets,0.04,0.12,0.2,0.29,0.34,0.55,0.25,0.9,-
Total Current Assets,0.13,0.23,0.28,0.56,0.45,0.91,0.95,3.17,-
Long-Term Investments,323.91,321.16,319.71,319.26,319.23,319.23,319.22,300,-
Other Long-Term Assets,0,0,0,0,0.05,0.11,0.53,0,-
Total Long-Term Assets,323.91,321.16,319.71,319.26,319.28,319.34,319.76,300,-
Total Assets,324.04,321.39,319.99,319.81,319.73,320.26,320.7,303.17,0.07
Accounts Payable,2.88,2.84,2.5,1.24,1.17,0.08,0.05,0.03,0
Current Debt,1,0.75,0.5,0.5,0,0,0,0,0
Other Current Liabilities,0,0,0,0,0,0.1,0.1,0.99,0.04
Total Current Liabilities,3.88,3.59,3,1.74,1.17,0.18,0.15,1.02,0.04
Other Long-Term Liabilities,11.55,12.03,13.7,16.67,20.53,21.29,25.84,27.18,0
Total Long-Term Liabilities,11.55,12.03,13.7,16.67,20.53,21.29,25.84,27.18,0
Total Liabilities,15.43,15.62,16.7,18.41,21.7,21.46,25.99,28.2,0.04
Total Debt,1,0.75,0.5,0.5,0,0,0,0,0
Common Stock,0,0,0,0,0,0,2.58,4.66,0.03
Retained Earnings,-15.3,-15.38,-16.43,-17.81,-21.18,-20.42,2.42,0.34,-0
Shareholders' Equity,-15.3,-15.38,-16.43,-17.81,-21.18,-20.42,5,5,0.02
Total Liabilities and Equity,0.13,0.23,0.28,0.6,0.52,1.04,30.99,33.2,0.07
Net Cash / Debt,-0.91,-0.64,-0.43,-0.23,0.11,0.37,0.7,2.28,0
Net Cash Per Share,-0.02,-0.02,-0.01,-0.01,0.00,0.01,0.02,0.18,-
Working Capital,-3.75,-3.36,-2.72,-1.18,-0.72,0.74,0.8,2.16,-
Book Value Per Share,-0.38,-0.39,-0.41,-0.45,-0.53,-0.51,0.13,0.40,0.00
