Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-07
Cash & Equivalents,0,0.02,0.02,0.18,0.28,0.47,0.04,0.03,0.03
Cash & Cash Equivalents,0,0.02,0.02,0.18,0.28,0.47,0.04,0.03,0.03
Cash Growth,-99.39%,-96.04%,-58.63%,479.58%,1004.14%,-,-,-,-
Other Current Assets,0.16,0.29,0.44,0.56,0.53,0.53,0,0,0
Total Current Assets,0.16,0.31,0.46,0.74,0.81,1.01,0.04,0.03,0.03
Long-Term Investments,291.02,285.65,283.22,281.95,281.55,281.52,0,0,0
Other Long-Term Assets,0,0,0,0,0.16,0.29,0.28,0.23,0.06
Total Long-Term Assets,291.02,285.65,283.22,281.95,281.7,281.81,0.28,0.23,0.06
Total Assets,291.17,285.96,283.68,282.68,282.51,282.82,0.32,0.26,0.08
Accounts Payable,5.04,4.19,0.07,0.1,0.14,0.08,0,0,0.07
Current Debt,3.36,0.3,0.2,0.2,0,0,0.38,0.28,0
Total Current Liabilities,8.4,4.49,0.27,0.3,0.14,0.08,0.38,0.28,0.07
Other Long-Term Liabilities,0,4.83,9.66,9.66,9.66,9.66,0,0,0
Total Long-Term Liabilities,0,4.83,9.66,9.66,9.66,9.66,0,0,0
Total Liabilities,8.4,9.32,9.93,9.96,9.8,9.74,0.38,0.28,0.07
Total Debt,3.36,0.3,0.2,0.2,0,0,0.38,0.28,0
Debt Growth,-,-,-46.67%,-27.27%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,1.25,-4.88,-7.77,-8.8,-8.82,-8.44,-0.08,-0.04,-0.01
Shareholders' Equity,1.25,-4.88,-7.77,-8.8,-8.82,-8.44,-0.05,-0.01,0.02
Total Liabilities and Equity,9.65,4.43,2.16,1.16,0.99,1.3,0.32,0.26,0.08
Net Cash / Debt,-3.36,-0.28,-0.18,-0.02,0.28,0.47,-0.33,-0.24,0.03
Net Cash / Debt Growth,-,-,-,-,1004.14%,-,-,-,-
Net Cash Per Share,-0.09,-0.01,-0.01,-0.00,0.01,0.03,-0.06,-0.03,-
Working Capital,-8.24,-4.18,0.19,0.44,0.66,0.93,-0.33,-0.24,-0.04
Book Value Per Share,0.04,-0.14,-0.22,-0.25,-0.25,-0.59,-0.01,-0.00,-
