Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.03,0.23,0.01,0.16,0.45,0.53,0.8,0.03
Cash & Cash Equivalents,0.03,0.23,0.01,0.16,0.45,0.53,0.8,0.03
Cash Growth,-93.19%,-55.98%,-99.07%,536.53%,-,-,-,-
Other Current Assets,0,0,0,0.04,0.08,0.14,0.01,-
Total Current Assets,0.03,0.23,0.01,0.2,0.54,0.68,0.81,-
Long-Term Investments,29.03,120.13,118.66,117.36,117.32,117.3,117.3,-
Other Long-Term Assets,0,0,0,0,0,0,0,-
Total Long-Term Assets,29.03,120.13,118.66,117.36,117.32,117.3,117.3,-
Total Assets,29.06,120.37,118.67,117.57,117.86,117.98,118.11,0.07
Accounts Payable,0.01,0,0,0,0,0,0,0
Other Current Liabilities,1.96,1.45,1.17,0.57,0.29,0.02,0.05,0.05
Total Current Liabilities,1.98,1.45,1.17,0.57,0.29,0.02,0.05,0.05
Long-Term Debt,2.75,2.6,1.15,0,0,0,0,0
Other Long-Term Liabilities,4.39,4.63,4.52,6.11,8.88,8.81,10.2,0
Total Long-Term Liabilities,7.14,7.23,5.67,6.11,8.88,8.81,10.2,0
Total Liabilities,9.12,8.69,6.83,6.68,9.17,8.83,10.25,0.05
Total Debt,2.75,2.6,1.15,0,0,0,0,0
Common Stock,2.83,0,0,0,0,0,0.69,0.03
Retained Earnings,-11.63,-8.45,-6.61,-6.41,-8.61,-8.15,4.31,-0
Shareholders' Equity,-8.81,-8.45,-6.61,-6.41,-8.61,-8.14,5,0.02
Total Liabilities and Equity,0.31,0.23,0.22,0.27,0.56,0.68,15.25,0.07
Net Cash / Debt,-2.72,-2.37,-1.14,0.16,0.45,0.53,0.8,0.03
Net Cash / Debt Growth,-,-,-,536.53%,-,-,-,-
Net Cash Per Share,-0.22,-0.16,-0.08,0.01,0.04,0.04,0.08,0.01
Working Capital,-1.95,-1.22,-1.16,-0.36,0.25,0.66,0.76,-
Book Value Per Share,-0.73,-0.56,-0.44,-0.43,-0.74,-0.54,0.52,0.01
