Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0,0,0.01,0,0,-
Cash & Cash Equivalents,0,0,0.01,0,0,0
Cash Growth,23.44%,-,-,-,-,-
Other Current Assets,0.19,0.21,0.2,0.2,0,-
Total Current Assets,0.19,0.21,0.21,0.21,0,-
Long-Term Investments,118.51,117.49,116.94,116.85,0,-
Other Long-Term Assets,0.01,0.06,0.11,0.15,1,-
Total Long-Term Assets,118.52,117.55,117.05,117,1,-
Total Assets,118.71,117.76,117.26,117.21,1,-
Current Debt,3.42,3.37,0.13,0.04,0.1,-
Other Current Liabilities,3.11,2.51,0.98,0.17,0.35,-
Total Current Liabilities,6.52,5.87,1.1,0.21,0.45,-
Total Liabilities,6.52,5.87,1.1,0.21,0.45,-
Total Debt,3.42,3.37,0.13,0.04,0.1,-
Debt Growth,3315.47%,-,-,-,-,-
Common Stock,0,0,0.08,0.24,0.56,-
Retained Earnings,-6.32,-5.6,-0.87,-0.03,-0.01,-
Shareholders' Equity,-6.32,-5.6,-0.79,0.21,0.55,-
Total Liabilities and Equity,0.21,0.27,0.32,0.42,1,-
Net Cash / Debt,-3.41,-3.36,-0.11,-0.04,-0.1,0
Net Cash Per Share,-0.27,-0.25,-0.03,-0.00,-0.07,-
Working Capital,-6.33,-5.66,-0.9,-0.01,-0.45,-
Book Value Per Share,-0.50,-0.41,-0.19,0.02,0.38,-
