Metrics,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.43,0.54,0.1,0.1,1.5,0
Cash & Cash Equivalents,0.43,0.54,0.1,0.1,1.5,0
Cash Growth,-71.23%,-,-,-,-,-
Other Current Assets,0.36,0.39,0.43,0.44,0.76,0.12
Total Current Assets,0.79,0.93,0.54,0.54,2.27,0.12
Long-Term Investments,414.08,414.04,414.03,414.02,414.01,0
Other Long-Term Assets,0,0.06,0.16,0.26,0,0
Total Long-Term Assets,414.08,414.1,414.19,414.28,414.01,0
Total Assets,414.87,415.03,414.72,414.82,416.27,0.12
Accounts Payable,0,0,0.05,0.02,0.02,0.05
Current Debt,0,0,0,0,0,0.09
Other Current Liabilities,0.13,0.04,0.07,0.03,0,0.02
Total Current Liabilities,0.13,0.04,0.12,0.05,0.02,0.15
Other Long-Term Liabilities,23.07,35.63,35.12,41.97,35.12,0
Total Long-Term Liabilities,23.07,35.63,35.12,41.97,35.12,0
Total Liabilities,23.2,35.67,35.24,42.02,35.14,0.15
Total Debt,0,0,0,0,0,0.09
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-22.34,-34.64,-34.52,-41.2,5,-0.06
Shareholders' Equity,-22.33,-34.64,-34.52,-41.2,5,-0.04
Total Liabilities and Equity,0.87,1.03,0.72,0.82,40.14,0.12
Net Cash / Debt,0.43,0.54,0.1,0.1,1.5,-0.09
Net Cash / Debt Growth,-71.23%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.00,0.00,0.07,-0.01
Working Capital,0.66,0.89,0.42,0.49,2.24,-0.04
Book Value Per Share,-0.43,-0.67,-0.67,-0.80,0.23,-0.01
