Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-06
Cash & Equivalents,0.11,0.24,0.4,0.76,0.01,-,0
Cash & Cash Equivalents,0.11,0.24,0.4,0.76,0.01,0,0
Cash Growth,1588.00%,-,402644.00%,-,-,-,-
Other Current Assets,0.17,0.23,0.25,0.2,0,-,0
Total Current Assets,0.27,0.47,0.65,0.96,0.01,-,0
Long-Term Investments,116.59,116.28,116.12,116.16,0,-,0
Other Long-Term Assets,0,0,0.05,0.1,0.39,-,0.35
Total Long-Term Assets,116.59,116.28,116.17,116.26,0.39,-,0.35
Total Assets,116.87,116.75,116.82,117.22,0.4,-,0.35
Accounts Payable,0.83,0.46,0.37,0.23,0,-,0
Current Debt,0.18,0,-,0,0.26,-,0.05
Other Current Liabilities,0,0,-,0,0.21,-,0.28
Total Current Liabilities,1.01,0.46,-,0.23,0.48,-,0.32
Other Long-Term Liabilities,4.03,4.03,-,4.03,0,-,0
Total Long-Term Liabilities,4.03,4.03,-,4.03,0,-,0
Total Liabilities,5.03,4.48,4.39,4.25,0.48,-,0.32
Total Debt,0.18,0,0,0,0.26,-,0.05
Debt Growth,-33.21%,-,-,-,-,-,-
Common Stock,0,0,0,0,0.03,-,0.03
Retained Earnings,-4.32,-3.88,-3.72,-3.18,-0.1,-,-0
Shareholders' Equity,-4.31,-3.88,-3.72,-3.18,-0.08,-,0.02
Total Liabilities and Equity,0.72,0.6,0.67,1.07,0.4,-,0.35
Net Cash / Debt,-0.07,0.24,0.4,0.76,-0.26,0,-0.05
Net Cash Per Share,-0.00,0.02,0.03,-,-0.10,-,-
Working Capital,-0.73,0.02,-,0.74,-0.47,-,-0.32
Book Value Per Share,-0.29,-0.26,-0.25,-1.00,-0.03,-,-
