Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-02
Cash & Equivalents,0.25,0.09,0.2,0.18,0.38,0.03,0.03
Cash & Cash Equivalents,0.25,0.09,0.2,0.18,0.38,0.03,0.03
Cash Growth,-32.96%,240.58%,705.51%,-,-,-,-
Other Current Assets,0.38,0.47,0.33,0.55,0.72,-,0
Total Current Assets,0.64,0.56,0.53,0.73,1.1,-,0.03
Long-Term Investments,310.26,307.68,306.15,306.01,306,-,0
Other Long-Term Assets,0,0,0,0,0,-,0.3
Total Long-Term Assets,310.26,307.68,306.15,306.01,306,-,0.3
Total Assets,310.9,308.24,306.68,306.74,307.1,0.7,0.32
Accounts Payable,3.7,0.72,0.63,0.57,0.56,0,0
Current Debt,0.53,0.17,0.17,0,0,0.11,0
Other Current Liabilities,0.32,2.51,1.35,0.17,0.15,0.57,0.3
Total Current Liabilities,4.55,3.4,2.15,0.74,0.71,0.68,0.3
Other Long-Term Liabilities,12.86,12.42,12.53,17.54,22.24,0,0
Total Long-Term Liabilities,12.86,12.42,12.53,17.54,22.24,0,0
Total Liabilities,17.41,15.81,14.68,18.28,22.96,0.68,0.3
Total Debt,0.53,0.17,0.17,0,0,0.11,0
Debt Growth,-,53.34%,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-16.67,-15.16,-14.05,-17.55,-21.86,-0.01,-0.01
Shareholders' Equity,-16.67,-15.16,-14.05,-17.54,-21.86,0.02,0.02
Total Liabilities and Equity,0.74,0.66,0.63,0.74,1.1,0.7,0.32
Net Cash / Debt,-0.27,-0.08,0.03,0.18,0.38,-0.09,0.03
Net Cash / Debt Growth,-,-,25.51%,-,-,-,-
Net Cash Per Share,-0.01,-0.00,0.00,0.00,-,-0.01,0.00
Working Capital,-3.91,-2.84,-1.62,-0.01,0.38,-,-0.28
Book Value Per Share,-0.40,-0.37,-0.34,-0.42,-1.43,0.00,0.00
