Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-09
Cash & Equivalents,0.36,0.63,0.73,0.75,0.88,1.05,0.02,-,0.03
Cash & Cash Equivalents,0.36,0.63,0.73,0.75,0.88,1.05,0.02,0,0.03
Cash Growth,-58.86%,-40.26%,4472.61%,-,3430.35%,-,-,-,-
Other Current Assets,0.24,0.24,0.28,0.3,0.32,0.29,0,-,0
Total Current Assets,0.6,0.86,1.01,1.05,1.2,1.34,0.02,-,0.03
Long-Term Investments,198.46,196.23,194.59,193.65,193.5,193.55,0,-,0
Other Long-Term Assets,0,0,0.04,0.11,0.17,0.24,0.29,-,0.21
Total Long-Term Assets,198.46,196.23,194.64,193.76,193.68,193.79,0.29,-,0.21
Total Assets,199.06,197.09,195.64,194.81,194.88,195.12,0.31,-,0.23
Accounts Payable,0.73,0.69,0.15,0.07,0.33,0.14,0,-,0
Current Debt,0,0,0,0,0,0,0.07,-,0
Other Current Liabilities,0,0,0,0,0,0.01,0.22,-,0.21
Total Current Liabilities,0.73,0.69,0.15,0.07,0.33,0.15,0.29,-,0.21
Other Long-Term Liabilities,9.13,8.85,9.95,10.14,13.62,20.08,0,-,0
Total Long-Term Liabilities,9.13,8.85,9.95,10.14,13.62,20.08,0,-,0
Total Liabilities,9.86,9.54,10.1,10.21,13.95,20.23,0.29,-,0.21
Total Debt,0,0,0,0,0,0,0.07,-,0
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-9.27,-8.68,-9.05,-9.05,-12.62,-18.65,-0.01,-,-0.01
Shareholders' Equity,-9.27,-8.67,-9.05,-9.05,-12.62,-18.65,0.01,-,0.02
Total Liabilities and Equity,0.6,0.86,1.05,1.16,1.34,1.58,0.31,-,0.23
Net Cash / Debt,0.36,0.63,0.73,0.75,0.88,1.05,-0.06,0,0.03
Net Cash / Debt Growth,-58.86%,-40.26%,-,-,3430.35%,-,-,-,-
Net Cash Per Share,0.02,0.03,0.03,0.03,0.04,0.18,-0.01,-,-
Working Capital,-0.13,0.18,0.86,0.98,0.88,1.18,-0.28,-,-0.19
Book Value Per Share,-0.39,-0.37,-0.38,-0.38,-0.53,-3.23,0.00,-,-
