Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.11,0.3,0.48,0.13,0.15,1.03,1.74,2.15,0.03
Cash & Cash Equivalents,0.11,0.3,0.48,0.13,0.15,1.03,1.74,2.15,0.03
Cash Growth,-28.08%,-70.74%,-72.58%,-94.10%,499.38%,-,-,-,-
Other Current Assets,0.11,0.29,0.46,0.62,0.71,0.89,1.07,1.15,0
Total Current Assets,0.22,0.59,0.94,0.74,0.86,1.92,2.81,3.31,0.03
Long-Term Investments,430.05,427.11,425.64,425.08,425.04,425.03,425.02,420.01,0
Other Long-Term Assets,0.35,0.12,0.59,0.52,1,0,0,0,0.09
Total Long-Term Assets,430.4,427.22,426.23,425.59,426.04,425.03,425.02,420.01,0.09
Total Assets,430.62,427.81,427.17,426.34,426.9,426.95,427.83,423.31,0.12
Accounts Payable,1.18,1.07,0.88,0.66,0.62,0.8,0.24,0.1,0.1
Current Debt,1.5,1.5,1.5,0.75,0,0,0,0,0
Other Current Liabilities,4.63,3.43,2.87,2.64,2.06,1.97,0.43,0,0
Total Current Liabilities,7.31,6,5.25,4.05,2.68,2.77,0.67,0.1,0.1
Other Long-Term Liabilities,11.48,12.28,18.08,21.54,35.94,31.94,40.49,41.47,0
Total Long-Term Liabilities,11.48,12.28,18.08,21.54,35.94,31.94,40.49,41.47,0
Total Liabilities,18.79,18.28,23.33,25.59,38.62,34.71,41.16,41.57,0.1
Total Debt,1.5,1.5,1.5,0.75,0,0,0,0,0
Common Stock,0,0,0,0,0,0,6.1,6.47,0.03
Retained Earnings,-17.92,-17.35,-21.45,-24.25,-36.71,-32.77,-1.1,-1.47,-0
Shareholders' Equity,-17.91,-17.35,-21.45,-24.25,-36.71,-32.76,5,5,0.02
Total Liabilities and Equity,0.87,0.93,1.88,1.34,1.9,1.95,46.16,46.57,0.12
Net Cash / Debt,-1.39,-1.2,-1.02,-0.62,0.15,1.03,1.74,2.15,0.03
Net Cash / Debt Growth,-,-,-,-,499.38%,-,-,-,-
Net Cash Per Share,-0.03,-0.02,-0.02,-0.01,0.00,0.02,0.03,0.09,0.00
Working Capital,-7.09,-5.41,-4.31,-3.3,-1.82,-0.85,2.14,3.21,-0.07
Book Value Per Share,-0.34,-0.33,-0.40,-0.46,-0.69,-0.62,0.09,0.21,0.00
