Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-24
Cash & Equivalents,0.18,42.14,0.51,0.55,0.79,1.1,0,0
Short-Term Investments,14.03,0,0,0,0,0,0,0
Cash & Cash Equivalents,14.21,42.14,0.51,0.55,0.79,1.1,0,0
Cash Growth,1697.62%,3736.05%,-,-,-,-,-,-
Other Current Assets,0.22,0.23,0.28,0.29,0.31,0.26,0.02,0.02
Total Current Assets,14.43,42.37,0.79,0.85,1.1,1.36,0.02,0.02
Long-Term Investments,0,0,179.64,178.79,178.53,178.5,0,0
Other Long-Term Assets,0,0,0.02,0.09,0.15,0.22,0.28,0
Total Long-Term Assets,0,0,179.67,178.88,178.68,178.72,0.28,0
Total Assets,14.43,42.37,180.45,179.72,179.78,180.08,0.3,0.03
Accounts Payable,2.02,1.66,0.71,0.17,0.12,0.02,0,0
Current Debt,0.65,0.65,0,0,0,0,0,0
Other Current Liabilities,0.62,28.44,0.16,0.07,0.05,0.08,0.28,0
Total Current Liabilities,3.29,30.75,0.88,0.23,0.17,0.1,0.28,0
Other Long-Term Liabilities,9.15,9.15,9.15,9.15,9.15,9.15,0,0
Total Long-Term Liabilities,9.15,9.15,9.15,9.15,9.15,9.15,0,0
Total Liabilities,12.44,39.9,10.03,9.38,9.32,9.25,0.28,0
Total Debt,0.65,0.65,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-11.58,-11,-9.06,-8.16,-8.05,-7.67,-0,-0
Shareholders' Equity,-11.58,-11,-9.06,-8.16,-8.05,-7.67,0.02,0.02
Total Liabilities and Equity,0.86,28.9,0.97,1.22,1.28,1.58,0.3,0.03
Net Cash / Debt,13.56,41.49,0.51,0.55,0.79,1.1,0,0
Net Cash / Debt Growth,1615.39%,3676.89%,-,-,-,-,-,-
Net Cash Per Share,2.00,1.97,0.02,0.02,0.03,0.11,-,-
Working Capital,11.14,11.62,-0.09,0.61,0.92,1.26,-0.25,0.02
Book Value Per Share,-1.71,-0.52,-0.39,-0.35,-0.35,-0.80,0.01,0.01
