Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-29
Cash & Equivalents,0.07,0.25,0.05,0.17,0.48,0.5,0.64,0.03,0.03
Cash & Cash Equivalents,0.07,0.25,0.05,0.17,0.48,0.5,0.64,0.03,0.03
Cash Growth,-85.90%,-49.88%,-91.85%,586.98%,1802.00%,-,-,-,-
Other Current Assets,0.07,0.11,0.13,0.16,0.16,0.25,0.29,-,-
Total Current Assets,0.13,0.36,0.18,0.33,0.63,0.74,0.93,-,-
Long-Term Investments,37.57,179.93,177.74,175.84,175.72,175.71,175.68,-,-
Other Long-Term Assets,0,0,0,0.01,0.05,0,0,-,-
Total Long-Term Assets,37.57,179.93,177.74,175.85,175.77,175.71,175.68,-,-
Total Assets,37.7,180.28,177.92,176.18,176.4,176.45,176.61,0.16,0.1
Accounts Payable,0.67,0.5,0.23,0.16,0.33,0.21,0.16,0,0
Current Debt,1.36,0.7,0.37,0,0,0,0,0.14,0
Other Current Liabilities,0,0,0,0,0,0,0,0,0.08
Total Current Liabilities,2.03,1.21,0.6,0.16,0.33,0.21,0.16,0.14,0.08
Other Long-Term Liabilities,5.56,5.46,6.09,6.89,9.69,10.15,9.98,0,0
Total Long-Term Liabilities,5.56,5.46,6.09,6.89,9.69,10.15,9.98,0,0
Total Liabilities,7.59,6.66,6.69,7.05,10.02,10.37,10.13,0.14,0.08
Total Debt,1.36,0.7,0.37,0,0,0,0,0.14,0
Debt Growth,-,-,3348463.64%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-7.13,-6.12,-6.19,-6.57,-9.31,-9.61,5,-0,-0
Shareholders' Equity,-7.13,-6.12,-6.19,-6.57,-9.31,-9.61,5,0.02,0.02
Total Liabilities and Equity,0.46,0.55,0.5,0.49,0.71,0.76,15.13,0.16,0.1
Net Cash / Debt,-1.29,-0.45,-0.32,0.17,0.48,0.5,0.64,-0.11,0.03
Net Cash / Debt Growth,-,-,-,-,1802.00%,-,-,-,-
Net Cash Per Share,-0.06,-0.02,-0.01,0.01,0.03,0.02,0.06,-0.03,0.01
Working Capital,-1.89,-0.85,-0.42,0.17,0.31,0.53,0.77,-,-
Book Value Per Share,-0.35,-0.27,-0.28,-0.29,-0.54,-0.43,0.44,0.01,0.01
