Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0.02,0.05,0.09,0.22,0.01,0.03,0.7,0.92,0.99,0.03
Cash & Cash Equivalents,0.02,0.05,0.09,0.22,0.01,0.03,0.7,0.92,0.99,0.03
Cash Growth,101.47%,62.77%,-87.81%,-76.70%,-98.80%,27.88%,-,-,-,-
Other Current Assets,0.09,0.07,0.09,0.14,0.19,0.27,0.35,0.36,0.54,-
Total Current Assets,0.12,0.12,0.18,0.36,0.21,0.3,1.04,1.28,1.53,-
Long-Term Investments,42.56,346.78,345.77,345.41,345.17,345.13,345.08,345.07,345.01,-
Total Long-Term Assets,42.56,346.78,345.77,345.41,345.17,345.13,345.08,345.07,345.01,-
Total Assets,42.68,346.9,345.95,345.77,345.38,345.43,346.13,346.35,346.54,0.12
Accounts Payable,2.18,1.18,0.81,0.5,0.26,0,0,0,0.07,0
Current Debt,0,0,0,-,0,-,-,-,-,0.04
Other Current Liabilities,0.37,0.17,0.03,-,0,-,-,-,-,0.06
Total Current Liabilities,2.54,1.35,0.84,-,0.26,-,-,-,-,0.1
Long-Term Debt,0.48,0.25,0.27,0.29,0.26,-,-,-,0,0
Other Long-Term Liabilities,9.63,13.64,14.43,-,28.53,-,-,-,-,0
Total Long-Term Liabilities,10.11,13.89,14.7,-,28.79,-,-,-,-,0
Total Liabilities,12.66,15.24,15.55,19.92,29.05,28.69,37.2,31.42,49.54,0.1
Total Debt,0.48,0.25,0.27,0.29,0.26,0.1,0,0,0,0.04
Debt Growth,85.90%,141.14%,-,-,-,134.04%,-,-,-,-
Common Stock,4.26,0,0,0,0,0,3.73,0,0,0.03
Retained Earnings,-16.39,-15,-14.96,-19.31,-28.68,-28.26,1.27,5,-48,-0
Shareholders' Equity,-12.13,-15,-14.96,-19.31,-28.67,-28.26,5,5,-48,0.02
Total Liabilities and Equity,0.52,0.24,0.59,0.61,0.38,0.43,42.2,36.42,1.54,0.12
Net Cash / Debt,-0.46,-0.19,-0.19,-0.07,-0.25,-0.07,0.7,0.92,0.99,-0.02
Net Cash Per Share,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,0.02,0.02,0.09,-0.00
Working Capital,-2.43,-1.23,-0.66,-,-0.05,-,-,-,-,-
Book Value Per Share,-0.31,-0.35,-0.35,-0.45,-0.67,-0.66,0.12,0.12,-4.33,0.00
