Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-15
Cash & Equivalents,1.43,0.95,1.09,1.03,1.39,0,0,0
Cash & Cash Equivalents,1.43,0.95,1.09,1.03,1.39,0,0,0
Cash Growth,2.30%,-,-,-,-,-,-,-
Other Current Assets,0.37,0.47,0.5,0.49,0.46,-,-,-
Total Current Assets,1.79,1.42,1.58,1.52,1.86,-,-,-
Long-Term Investments,237.04,235.7,234.78,234.62,234.6,-,-,-
Other Long-Term Assets,0,0.03,0.14,0.25,0.36,-,-,-
Total Long-Term Assets,237.04,235.73,234.93,234.87,234.96,-,-,-
Total Assets,238.83,237.15,236.51,236.39,236.82,0.52,0.32,0.05
Accounts Payable,1.12,0,0,0,0.66,0,0,0
Current Debt,0,0,0,0,0,0.07,0,0
Other Current Liabilities,0.71,1.04,0.94,0.78,0.17,0.42,0.3,0.02
Total Current Liabilities,1.83,1.04,0.94,0.78,0.83,0.49,0.3,0.02
Other Long-Term Liabilities,9.94,10.84,12.21,15.01,20.45,0,0,0
Total Long-Term Liabilities,9.94,10.84,12.21,15.01,20.45,0,0,0
Total Liabilities,11.77,11.89,13.15,15.79,21.28,0.49,0.3,0.02
Total Debt,0,0,0,0,0,0.07,0,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-9.96,-10.37,-11.3,-14,-19.07,-0,-0,-0
Shareholders' Equity,-9.96,-10.37,-11.3,-14,-19.06,0.02,0.02,0.02
Total Liabilities and Equity,1.81,1.52,1.85,1.79,2.22,0.52,0.32,0.05
Net Cash / Debt,1.43,0.95,1.09,1.03,1.39,-0.07,0,0
Net Cash / Debt Growth,2.30%,-,-,-,-,-,-,-
Net Cash Per Share,0.25,0.17,0.19,0.18,0.30,-0.01,-,-
Working Capital,-0.04,0.38,0.64,0.74,1.03,-,-,-
Book Value Per Share,-1.73,-1.80,-1.97,-2.44,-4.04,0.01,0.01,-
