Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+47 Quarters
Other Long-Term Liabilities,"4,586","4,427","4,116","4,138","4,237","3,986","3,836","3,795","3,651","3,197","3,181","3,158","2,972","2,814","2,483","2,319","2,212","1,944","1,906","1,808","1,725","1,544",999,982,621,605,627,645,621,651,898,865,867,789,768,777,736,715,642,665,Upgrade
Total Long-Term Liabilities,"19,878","18,176","17,693","17,884","18,105","17,095","17,047","17,045","16,872","15,220","15,755","15,656","15,438","11,341","10,218","10,125","8,011","7,778","7,764","7,666","8,194","6,968","6,392","6,308","5,837","5,785","3,953","3,951","3,954","3,919","2,393","2,360","2,362","2,283","2,262","2,271","2,230",715,642,665,Upgrade
Total Liabilities,"33,529","32,347","31,169","29,969","30,033","30,257","28,608","28,342","28,347","27,067","25,713","25,579","25,150","23,245","20,932","19,622","18,257","19,371","17,473","17,121","17,142","15,761","14,376","13,891","12,932","12,991","11,074","10,413","10,394","10,188","8,336","8,836","8,299","8,505","8,111","8,061","8,224","6,747","6,062","4,992",Upgrade
Total Debt,"15,568","14,023","14,534","14,481","14,646","13,901","13,861","13,899","13,870","12,672","12,574","12,498","12,466","8,527","7,735","7,806","6,299","6,334","6,358","5,858","6,469","5,424","5,393","5,326","5,216","5,180","3,326","3,306","3,333","3,268","1,495","1,495","1,495","1,494","1,494","1,494","1,494",0,0,0,Upgrade
Debt Growth,6.30%,0.88%,4.86%,4.19%,5.59%,9.70%,10.24%,11.21%,11.26%,48.61%,62.56%,60.11%,97.90%,34.62%,21.66%,33.25%,-2.63%,16.78%,17.89%,9.99%,24.02%,4.71%,62.15%,61.10%,56.50%,58.51%,122.47%,121.14%,122.94%,118.74%,0.07%,0.07%,0.07%,-,-,-,-,-,-,-,Upgrade
Common Stock,"-48,865","-46,056","-43,647","-42,196","-39,968","-37,527","-36,256","-34,676","-33,075","-31,676","-30,727","-28,772","-28,796","-27,418","-26,482","-24,779","-22,965","-21,170","-20,281","-19,197","-17,776","-16,399","-15,417","-14,654","-13,789","-12,838","-11,786","-11,212","-10,873","-9,518","-8,740","-7,849","-7,066","-6,119","-5,960","-5,588","-4,474","-2,815","-2,093","-1,790",Upgrade
Retained Earnings,"55,424","53,607","51,625","49,599","47,800","45,648","43,750","41,771","40,140","38,747","37,403","36,288","35,273","33,984","32,289","30,517","28,806","27,283","26,726","25,086","23,852","22,364","22,401","21,205","20,263","19,418","18,722","17,746","16,972","16,222","15,543","14,746","14,006","13,169","12,553","11,666","10,861","10,121","9,630","8,823",Upgrade
Comprehensive Income,"-1,229","-1,253","-1,617","-1,232",-798,-809,-791,-653,-738,-680,-880,"-1,046","-1,079",-673,-858,-730,-673,-718,-670,-632,-373,-497,-542,-699,-863,-924,-717,-697,-620,-676,-536,-493,-639,-260,-92,188,180,178,120,-15,Upgrade
Shareholders' Equity,"5,330","6,298","6,361","6,171","7,034","7,312","6,703","6,442","6,327","6,391","5,796","6,470","5,398","5,893","4,949","5,008","5,168","5,395","5,775","5,257","5,703","5,468","6,442","5,852","5,611","5,656","6,219","5,837","5,479","6,028","6,267","6,404","6,301","6,790","6,501","6,266","6,567","7,484","7,657","7,018",Upgrade
Total Liabilities and Equity,"38,859","38,645","37,530","36,140","37,067","37,569","35,311","34,784","34,674","33,458","31,509","32,049","30,548","29,138","25,881","24,630","23,425","24,766","23,248","22,378","22,845","21,229","20,818","19,743","18,543","18,647","17,293","16,250","15,873","16,216","14,603","15,240","14,600","15,295","14,612","14,327","14,791","14,231","13,719","12,010",Upgrade
Net Cash / Debt,"-6,992","-5,047","-4,958","-6,501","-5,588","-4,134","-5,113","-5,333","-4,376",-380,-381,577,-264,519,-710,-245,"1,919","3,124","3,169","2,879","2,764","3,443","3,056","2,626","3,428","4,146","4,650","4,077","3,812","4,365","4,485","4,582","5,254","5,831","5,778","5,138","5,981","7,206","6,885","5,930",Upgrade
Net Cash / Debt Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-83.39%,-,-,-30.57%,-9.27%,3.70%,9.63%,-19.37%,-16.96%,-34.28%,-35.59%,-10.07%,-5.02%,3.68%,-11.02%,-27.45%,-25.14%,-22.38%,-10.82%,-12.16%,-19.08%,-16.08%,-13.36%,2.55%,24.67%,7.34%,4.36%,Upgrade
Net Cash Per Share,-7.31,-5.25,-5.12,-6.67,-5.70,-4.19,-5.16,-5.37,-4.38,-0.38,-0.38,0.57,-0.26,0.51,-0.70,-0.24,1.86,3.01,3.04,2.74,2.61,3.24,2.86,2.44,3.17,3.80,4.23,3.70,3.43,3.86,3.96,4.02,4.56,5.03,4.98,4.40,5.03,5.99,5.69,4.87,Upgrade
Working Capital,"2,769","2,435","3,347","3,126","4,025","3,787","3,821","3,782","4,930","7,266","8,511","9,458","8,411","4,998","4,133","4,668","4,150","4,578","5,355","4,850","5,759","5,004","5,247","4,959","5,790","6,022","4,655","4,536","4,166","4,715","3,682","3,741","4,411","4,775","5,107","4,787","5,348","4,918","5,139","4,635",Upgrade
Book Value Per Share,5.59,6.57,6.59,6.36,7.20,7.45,6.80,6.51,6.37,6.40,5.79,6.44,5.37,5.85,4.88,4.91,5.04,5.23,5.57,5.04,5.43,5.18,6.06,5.47,5.21,5.19,5.67,5.32,4.94,5.34,5.55,5.63,5.49,5.89,5.62,5.38,5.54,6.24,6.35,5.78,Upgrade
