Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-19
Cash & Equivalents,0.29,0.59,0.68,0.76,0.9,1.23,0,0,0.03
Cash & Cash Equivalents,0.29,0.59,0.68,0.76,0.9,1.23,0,0,0.03
Cash Growth,-67.51%,-52.31%,82561.88%,22683.18%,3488.96%,-,-,-,-
Other Current Assets,0.25,0.26,0.33,0.36,0.32,0.31,0.01,0.04,0
Total Current Assets,0.54,0.85,1.01,1.12,1.22,1.54,0.02,0.04,0.03
Long-Term Investments,238.52,235.93,233.83,232.46,232.31,232.3,0,0,0
Other Long-Term Assets,0,0,0.01,0.08,0.16,0.26,0.65,0.52,0.19
Total Long-Term Assets,238.52,235.93,233.84,232.54,232.46,232.56,0.65,0.52,0.19
Total Assets,239.06,236.78,234.85,233.66,233.68,234.1,0.66,0.56,0.22
Accounts Payable,0.1,0.1,0.03,0.02,0.15,0.13,0.54,0.01,0.01
Current Debt,0,0,0,0,0,0,0.25,0.24,0
Other Current Liabilities,0.38,0.2,0.11,0.08,0,0.13,0,0.41,0.19
Total Current Liabilities,0.47,0.3,0.15,0.11,0.15,0.26,0.79,0.66,0.2
Other Long-Term Liabilities,12.23,10.92,11.86,12.61,17.89,20.03,0,0,0
Total Long-Term Liabilities,12.23,10.92,11.86,12.61,17.89,20.03,0,0,0
Total Liabilities,12.71,11.21,12,12.72,18.04,20.29,0.79,0.66,0.2
Total Debt,0,0,0,0,0,0,0.25,0.24,0
Common Stock,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-12.17,-10.37,-10.98,-11.52,-16.66,-18.49,-0.15,-0.12,-0.01
Shareholders' Equity,-12.17,-10.36,-10.98,-11.52,-16.66,-18.49,-0.13,-0.1,0.01
Total Liabilities and Equity,0.54,0.85,1.03,1.2,1.38,1.8,0.66,0.56,0.22
Net Cash / Debt,0.29,0.59,0.68,0.76,0.9,1.23,-0.25,-0.23,0.03
Net Cash / Debt Growth,-67.51%,-52.31%,-,-,3488.96%,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.03,0.03,0.11,-0.05,-0.05,-
Working Capital,0.06,0.55,0.87,1.01,1.06,1.28,-0.78,-0.61,-0.18
Book Value Per Share,-0.42,-0.36,-0.38,-0.40,-0.58,-1.65,-0.03,-0.02,-
