Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.13,0.34,0.48,0.53,0.81,0.06,0
Cash & Cash Equivalents,0.13,0.34,0.48,0.53,0.81,0.06,0
Cash Growth,-83.87%,499.36%,-,-,-,-,-
Other Current Assets,0.06,0.1,0.11,0.13,0.03,-,0
Total Current Assets,0.19,0.44,0.59,0.66,0.84,-,0
Long-Term Investments,21.82,79.25,78.89,78.79,78.78,-,0
Other Long-Term Assets,0,0.01,0.03,0.04,0,-,0.24
Total Long-Term Assets,21.83,79.26,78.92,78.82,78.78,-,0.24
Total Assets,22.02,79.7,79.51,79.49,79.62,0.31,0.25
Accounts Payable,0.22,0.07,0.04,0.01,0.01,0,0
Current Debt,0.43,0.07,0.07,0.07,0.07,0.28,0.21
Other Current Liabilities,0.02,0.02,0.02,0.02,0.09,0.02,0.02
Total Current Liabilities,0.67,0.15,0.12,0.09,0.17,0.3,0.23
Other Long-Term Liabilities,2.73,2.73,2.73,2.73,2.73,0,0
Total Long-Term Liabilities,2.73,2.73,2.73,2.73,2.73,0,0
Total Liabilities,3.4,2.88,2.85,2.82,2.9,0.3,0.23
Total Debt,0.43,0.07,0.07,0.07,0.07,0.28,0.21
Debt Growth,514.29%,-75.33%,-67.25%,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-3.2,-2.43,-2.23,-2.12,-2.05,-0.01,-0.01
Shareholders' Equity,-3.2,-2.43,-2.23,-2.12,-2.05,0.01,0.02
Total Liabilities and Equity,0.19,0.45,0.62,0.7,0.84,0.31,0.25
Net Cash / Debt,-0.3,0.27,0.41,0.46,0.74,-0.23,-0.21
Net Cash Per Share,-0.04,0.03,0.06,0.05,0.22,-0.12,-0.11
Working Capital,-0.48,0.29,0.47,0.57,0.68,-,-0.22
Book Value Per Share,-0.38,-0.24,-0.34,-0.21,-0.60,0.01,0.01
