Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.9,0.04,0.11,0.2,0.58,0.7,0,0
Cash & Cash Equivalents,0.9,0.04,0.11,0.2,0.58,0.7,0,0
Cash Growth,54.02%,-94.11%,-,-,-,-,-,-
Other Current Assets,0.15,0.27,0.46,0.66,0.81,0.99,0,0.01
Total Current Assets,1.05,0.31,0.57,0.86,1.39,1.69,0,0.01
Long-Term Investments,240.59,238.04,236.02,234.95,234.62,234.6,0,0
Other Long-Term Assets,0,0,0,0,0,0,0.36,0.08
Total Long-Term Assets,240.59,238.04,236.02,234.95,234.62,234.6,0.36,0.08
Total Assets,241.63,238.35,236.59,235.81,236.01,236.29,0.36,0.09
Accounts Payable,1.34,0.54,0,0,0,0,0.03,0
Current Debt,0.35,0.1,0,0,0,0,0.09,0
Other Current Liabilities,0,0,0.35,0.23,0.21,0.13,0.25,0.07
Total Current Liabilities,1.69,0.64,0.35,0.23,0.21,0.13,0.37,0.07
Other Long-Term Liabilities,10.37,9.67,11.76,14.78,16.4,21.97,0,0
Total Long-Term Liabilities,10.37,9.67,11.76,14.78,16.4,21.97,0,0
Total Liabilities,12.06,10.32,12.11,15.01,16.61,22.1,0.37,0.07
Total Debt,0.35,0.1,0,0,0,0,0.09,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-5.03,-6.57,-10.12,-13.8,-15.2,-20.41,-0.03,-0.01
Shareholders' Equity,-5.03,-6.56,-10.12,-13.8,-15.2,-20.41,-0.01,0.02
Total Liabilities and Equity,7.03,3.75,1.99,1.21,1.41,1.69,0.36,0.09
Net Cash / Debt,0.55,-0.06,0.11,0.2,0.58,0.7,-0.09,0
Net Cash / Debt Growth,-6.04%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,-0.00,0.00,0.01,0.02,0.06,-0.02,-
Working Capital,-0.65,-0.33,0.22,0.62,1.18,1.56,-0.37,-0.07
Book Value Per Share,-0.17,-0.23,-0.35,-0.48,-0.53,-1.86,-0.00,-
