Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-20
Cash & Equivalents,0.7,0.09,0,0.03,0.12,0.28,0.37,0.51,0,0
Cash & Cash Equivalents,0.7,0.09,0,0.03,0.12,0.28,0.37,0.51,0,0
Cash Growth,480.70%,-67.39%,-99.03%,-93.88%,-,-,-,-,-,-
Other Current Assets,0.32,0.39,0.54,0.53,0.55,0.51,0.9,1.01,-,-
Total Current Assets,1.02,0.48,0.54,0.56,0.67,0.79,1.27,1.52,-,-
Long-Term Investments,323.28,320.78,318.25,316.61,316.34,316.28,316.26,316.25,-,-
Other Long-Term Assets,0,0,0,0.13,0.26,0.38,0,0,-,-
Total Long-Term Assets,323.28,320.78,318.25,316.75,316.6,316.66,316.26,316.25,-,-
Total Assets,324.3,321.27,318.8,317.31,317.27,317.45,317.53,317.77,0.29,0.06
Accounts Payable,0.83,0.6,0.6,0.65,0.51,0.4,0.23,0.14,0,0
Current Debt,0.8,0.6,0.43,0,0,0,0,0,0.12,0
Other Current Liabilities,1.56,0.92,0.39,0.03,0.05,0.19,0.1,0.05,0.15,0.03
Total Current Liabilities,3.19,2.12,1.41,0.68,0.56,0.59,0.33,0.19,0.27,0.03
Long-Term Debt,0,0,0,0.27,0.19,0,0,0,0,0
Other Long-Term Liabilities,13.01,13.01,13.24,15.65,20.12,22.9,24.95,34.88,0,0
Total Long-Term Liabilities,13.01,13.01,13.24,15.92,20.31,22.9,24.95,34.88,0,0
Total Liabilities,16.19,15.12,14.65,16.6,20.87,23.48,25.28,35.07,0.27,0.03
Total Debt,0.8,0.6,0.43,0.27,0.19,0,0,0,0.12,0
Debt Growth,320.75%,-,-,-,58.91%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,6.64,0.03,0.03
Retained Earnings,-13.82,-13.38,-13.41,-15.55,-19.85,-22.28,-24,-1.64,-0,-0
Shareholders' Equity,-13.82,-13.38,-13.41,-15.55,-19.85,-22.28,-24,5,0.02,0.02
Total Liabilities and Equity,2.37,1.75,1.23,1.06,1.02,1.2,1.28,40.07,0.29,0.06
Net Cash / Debt,-0.1,-0.51,-0.42,-0.23,-0.07,0.28,0.37,0.51,-0.12,0
Net Cash Per Share,-0.00,-0.01,-0.01,-0.01,-0.00,0.01,0.01,0.04,-0.02,-
Working Capital,-2.17,-1.63,-0.86,-0.12,0.12,0.21,0.94,1.33,-,-
Book Value Per Share,-0.35,-0.34,-0.34,-0.39,-0.50,-0.85,-0.61,0.38,0.00,-
