Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+50 Quarters
Current Debt,"128,107","135,265.2","139,989.4","138,430.4","167,736.7","158,699","149,940.8","141,299.8","123,414","86,781.8","88,083.4","79,440.9","100,371.5","37,075.8","41,160.4","32,489.5","33,614.6","40,029.7","37,843.9","36,885.2","39,088.9","44,185.3","46,942.3","47,405","44,421.2","37,542.7","31,604.9","36,137.4","37,494.3","35,553","49,321.2","42,167.9","45,174.2","40,566.8","32,385.3","20,089.9","21,658.5","22,105","16,942.5","15,775.2",Upgrade
Other Current Liabilities,839.7,"2,300.9",488.3,488.8,641.1,"1,650.6",405.3,665.8,756.9,"1,346.8",448,672.5,607.9,"1,384.8",691.6,393.6,592.5,"1,126.9",256.3,266.6,331.4,"1,456.3",244.6,239.1,345.2,"1,376.7",247,246.8,321.6,"1,242.8",239.5,242.6,286.9,927.5,207.6,254.7,328.1,"1,169.8",229.7,380.7,Upgrade
Total Current Liabilities,"129,043.9","137,687.5","140,572.7","139,000.1","168,458.6","160,398.4","150,417.1","142,012.8","124,222.5","88,197.9","88,630.9","80,201.4","101,053.7","38,522.5","41,913.5","32,934.7","34,272.4","41,272.6","38,154.1","37,179.6","39,445.3","45,672.9","47,223","47,669.6","44,804.8","38,945.6","31,886.4","36,419.8","37,848.1","36,824.5","49,598.8","42,432.6","45,495.1","41,531.2","32,627.9","20,376.7","22,029.7","23,311","17,213.2","16,192.9",Upgrade
Long-Term Debt,"3,423.1","3,422.4","3,421.8","3,436.7","3,437.1","2,695.7","2,695.7","3,444.6","3,443.6","3,443.8","3,442.2","3,440.9","3,539.8","3,743.2","3,873.3","4,072.9","4,292","3,826.8","3,419.6","3,419","2,233.5","2,233.1","2,232.6","2,232.1","2,231.6","2,231.2","2,230.7","2,230.2","2,229.8","2,229.3","2,241.2","2,241","2,851.9","2,107.9","2,107.7","2,107.5","2,107.4","2,107.2","2,107","1,358.2",Upgrade
Other Long-Term Liabilities,"6,187.8","6,187.1","6,186.2","6,232.8","6,285.2","6,286.9","6,379.4","6,454.3","6,430.1","6,666.4","6,675.3","6,733.6","6,740.1","6,790.3","6,817.5","6,857","6,863.6","6,411","5,494.7","5,477.1","5,467.7","5,473.4","8,003.5","7,865.3","7,885.4","7,851.9","7,869.3","7,901.7","7,848.9","7,753.8","7,732.8","7,730.7","7,685.9","7,678.9","7,697.6","7,661.7","7,719.9","7,699.1","7,681.8","7,477",Upgrade
Total Long-Term Liabilities,"9,610.9","9,609.5","9,608","9,669.5","9,722.3","8,982.6","9,075.1","9,898.9","9,873.7","10,110.2","10,117.5","10,174.5","10,279.9","10,533.5","10,690.8","10,929.9","11,155.6","10,237.8","8,914.3","8,896.1","7,701.2","7,706.5","10,236.1","10,097.4","10,117","10,083.1","10,100","10,131.9","10,078.7","9,983.1","9,974","9,971.7","10,537.8","9,786.8","9,805.3","9,769.2","9,827.3","9,806.3","9,788.8","8,835.2",Upgrade
Total Liabilities,"138,654.8","147,297","150,180.7","148,669.6","178,180.9","169,381","159,492.2","151,911.7","134,096.2","98,308.1","98,748.4","90,375.9","111,333.6","49,056","52,604.3","43,864.6","45,428","51,510.4","47,068.4","46,075.7","47,146.5","53,379.4","57,459.1","57,767","54,921.8","49,028.7","41,986.4","46,551.7","47,926.8","46,807.6","59,572.8","52,404.3","56,032.9","51,318","42,433.2","30,145.9","31,857","33,117.3","27,002","25,028.1",Upgrade
Total Debt,"131,530.1","138,687.6","143,411.2","141,867.1","171,173.8","161,394.7","152,636.5","144,744.4","126,857.6","90,225.6","91,525.6","82,881.8","103,911.3","40,819","45,033.7","36,562.4","37,906.6","43,856.5","41,263.5","40,304.2","41,322.4","46,418.4","49,174.9","49,637.1","46,652.8","39,773.9","33,835.6","38,367.6","39,724.1","37,782.3","51,562.4","44,408.9","48,026.1","42,674.7","34,493","22,197.4","23,765.9","24,212.2","19,049.5","17,133.4",Upgrade
Debt Growth,-23.16%,-14.07%,-6.04%,-1.99%,34.93%,78.88%,66.77%,74.64%,22.08%,121.04%,103.24%,126.69%,174.12%,-6.93%,9.14%,-9.28%,-8.27%,-5.52%,-16.09%,-18.80%,-11.43%,16.71%,45.33%,29.37%,17.44%,5.27%,-34.38%,-13.60%,-17.29%,-11.46%,49.49%,100.06%,102.08%,76.25%,81.07%,29.56%,86.12%,156.45%,85.83%,101.21%,Upgrade
Common Stock,"22,285.1","22,265.2","22,238.9","22,235.9","22,209.9","22,193.9","21,207.4","21,222.7","21,197.1","21,189.1","21,160.8","21,152.5","21,124","21,116.8","21,111.2","21,112.8","21,065.7","21,057.9","17,930.6","17,931.7","17,907.5","17,900.3","17,878","17,873.8","17,845.5","17,830.3","17,783.4","17,771.3","17,741","17,725","17,699.6","17,678.2","17,642","17,600","17,564.6","17,548.9","17,524.4","17,508.2","17,468.6","17,456.2",Upgrade
Retained Earnings,"5,229.9","4,746.8","6,111.7","5,797.5","5,498.9","5,151.9","6,037.4","5,434.5","5,247.3","4,995.9","5,775.1","5,668.5","5,469.9","5,008.7","5,704.2","5,336.8","5,091.1","4,855.3","5,346.4","5,173.3","4,845.4","4,497.2","2,973.8","2,889.7","2,697.9","2,524.5","3,458.6","3,189.3","3,072.3","2,907.6","3,771.8","3,575.5","3,479.3","3,317.3","3,842","3,709.8","3,603.9","3,494.6","4,326.5","4,239.2",Upgrade
Comprehensive Income,-130.6,-133.3,-99.8,-31.7,28,53.5,37.3,106,83.5,134.9,43.7,-13.1,-26.2,3.4,-32.2,5.6,0.8,5.3,18.7,18.6,19.9,14.3,12.1,13.3,10.8,-14.1,22.9,113.3,28.1,-80.8,-94.6,5.1,-25.8,6.2,130.5,206.7,176.3,152,177.2,153.2,Upgrade
Shareholders' Equity,"27,384.4","26,878.7","28,250.8","28,001.7","27,736.8","27,399.3","27,282.1","26,763.2","26,527.9","26,319.9","26,979.6","26,807.9","26,567.7","26,128.9","26,783.2","26,455.2","26,157.6","25,918.5","23,295.7","23,123.6","22,772.8","22,411.8","20,863.9","20,776.8","20,554.2","20,340.7","21,264.9","21,073.9","20,841.4","20,551.8","21,376.8","21,258.8","21,095.5","20,923.5","21,537.1","21,465.4","21,304.6","21,154.8","21,972.3","21,848.6",Upgrade
Total Liabilities and Equity,"166,039.2","174,175.7","178,431.5","176,671.3","205,917.7","196,780.3","186,774.3","178,674.9","160,624.1","124,628","125,728","117,183.8","137,901.3","75,184.9","79,387.5","70,319.8","71,585.6","77,428.9","70,364.1","69,199.3","69,919.3","75,791.2","78,323","78,543.8","75,476","69,369.4","63,251.3","67,625.6","68,768.2","67,359.4","80,949.6","73,663.1","77,128.4","72,241.5","63,970.3","51,611.3","53,161.6","54,272.1","48,974.3","46,876.7",Upgrade
Net Cash / Debt,"-1,769.2",-622.3,"-1,214.9","-1,462.1","-1,281.8",-495.2,"-1,875.2","-2,252.7","-2,402","-1,709.7","-2,017.3","-1,946.9","-2,610.3","-2,107.4","-2,582.2","-3,053.4","-3,206.6","-2,953.6","-1,930.5","-2,239.2","-1,358.5",-239.4,-513.5,-785.5,-856.7,-278.5,-724.7,-988.1,"-1,001.6",-464.2,-734.5,"-1,013.7","-1,078.3",-667.1,-947,-997.3,-981.5,-319,-726.7,-828.3,Upgrade
Net Cash Per Share,-4.92,-1.73,-3.38,-4.07,-3.57,-1.38,-5.22,-6.28,-6.69,-4.77,-5.63,-5.43,-7.28,-5.88,-7.21,-8.53,-8.96,-8.39,-5.66,-6.57,-3.99,-0.70,-1.51,-2.31,-2.52,-0.82,-2.14,-2.92,-2.96,-1.37,-2.17,-3.00,-3.20,-1.98,-2.82,-2.97,-2.92,-0.95,-2.17,-2.48,Upgrade
Working Capital,"1,987.8","1,390.8","2,680.2","2,450.9","2,545.7","1,363.4","1,177.3","2,836.2","2,523","1,086","1,718.4","1,584.8","1,362.9","1,045.3","1,778.8","1,527.7","1,332.8",614.1,"3,360.7","3,120.9","1,609.5","1,233.6","2,169.5","1,827.3","1,563.7","1,085.9","1,889.6","1,607.4","1,405.2","1,080","1,860","1,622.5","1,990.9","1,014.1","1,538.5","1,354.5","1,280","1,094.6","1,834.9",731.7,Upgrade
Book Value Per Share,76.29,74.89,78.76,78.08,77.35,76.41,76.13,74.70,74.07,73.51,75.41,74.95,74.31,73.10,74.98,74.09,73.29,73.84,68.60,68.12,67.12,66.08,61.59,61.37,60.75,60.16,62.99,62.48,61.84,61.01,63.56,63.26,62.84,62.42,64.40,64.25,63.80,63.41,66.03,65.74,Upgrade
