Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.11,0.04,0.19,0.51,0.76,0.01
Cash & Cash Equivalents,0.11,0.04,0.19,0.51,0.76,0.01
Cash Growth,-85.92%,717.79%,-,-,-,-
Other Current Assets,0,0.06,0.21,0.37,0.46,0
Total Current Assets,0.11,0.11,0.4,0.88,1.22,0.01
Long-Term Investments,7.53,117.2,116.81,116.74,116.73,0
Other Long-Term Assets,0,0,0,0,0,0.32
Total Long-Term Assets,7.53,117.2,116.81,116.74,116.73,0.32
Total Assets,7.63,117.3,117.21,117.62,117.94,0.32
Accounts Payable,1.89,1.42,0.59,0.34,0.14,0.1
Current Debt,1.05,0.04,0.04,0.04,0.04,0.2
Other Current Liabilities,0.36,0.08,0,0,0,0
Total Current Liabilities,3.3,1.55,0.64,0.39,0.18,0.3
Other Long-Term Liabilities,4.37,4.37,4.37,4.37,4.37,0
Total Long-Term Liabilities,4.37,4.37,4.37,4.37,4.37,0
Total Liabilities,7.67,5.92,5.01,4.76,4.55,0.3
Total Debt,1.05,0.04,0.04,0.04,0.04,0.2
Debt Growth,2295.01%,-78.04%,-,-,-,-
Common Stock,0.29,0,0,0,0,0.01
Retained Earnings,-7.72,-5.59,-4.52,-3.86,-3.33,0.01
Shareholders' Equity,-7.43,-5.59,-4.52,-3.86,-3.33,0.02
Total Liabilities and Equity,0.24,0.33,0.48,0.89,1.22,0.32
Net Cash / Debt,-0.94,0,0.15,0.47,0.72,-0.19
Net Cash Per Share,-0.07,0.00,0.01,0.03,0.18,-0.08
Working Capital,-3.19,-1.44,-0.23,0.49,1.03,-0.3
Book Value Per Share,-0.58,-0.37,-0.30,-0.26,-0.84,0.01
