Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-12
Cash & Equivalents,0.79,0.97,1.07,1.19,0,0,-,0.03
Cash & Cash Equivalents,0.79,0.97,1.07,1.19,0,0,0,0.03
Cash Growth,501433.54%,677956.64%,-,4659.24%,-,-,-,-
Other Current Assets,0.19,0.25,0.23,0.25,0,-,-,-
Total Current Assets,0.98,1.22,1.3,1.44,0,-,-,-
Long-Term Investments,297.62,295.19,293.77,293.36,0,-,-,-
Other Long-Term Assets,0,0,0.09,0.14,0.34,-,-,-
Total Long-Term Assets,297.62,295.19,293.86,293.5,0.34,-,-,-
Total Assets,298.6,296.41,295.16,294.94,0.34,0.26,-,0.09
Current Debt,0,0,0,0,0.21,0.16,-,0.03
Other Current Liabilities,1.28,0.56,0.35,0.37,0.12,0.08,-,0.04
Total Current Liabilities,1.28,0.56,0.35,0.37,0.33,0.25,-,0.07
Other Long-Term Liabilities,15.67,17.04,17.86,20.6,0,0,-,0
Total Long-Term Liabilities,15.67,17.04,17.86,20.6,0,0,-,0
Total Liabilities,16.96,17.6,18.21,20.97,0.33,0.25,-,0.07
Total Debt,0,0,0,0,0.21,0.16,-,0.03
Common Stock,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-15.98,-16.38,-16.82,-19.29,-0.02,-0.02,-,-0.01
Shareholders' Equity,-15.98,-16.37,-16.82,-19.29,0.01,0.01,-,0.02
Total Liabilities and Equity,0.98,1.22,1.39,1.69,0.34,0.26,-,0.09
Net Cash / Debt,0.79,0.97,1.07,1.19,-0.21,-0.16,0,0
Net Cash Per Share,0.02,0.02,0.03,0.04,-0.03,-0.02,-,-
Working Capital,-0.3,0.67,0.95,1.07,-0.33,-,-,-
Book Value Per Share,-0.41,-0.42,-0.43,-0.63,0.00,0.00,-,-
