Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.42,0.54,0.66,0.81,0,0
Cash & Cash Equivalents,0.42,0.54,0.66,0.81,0,0
Other Current Assets,0.27,0.31,0.38,0.38,-,0
Total Current Assets,0.69,0.85,1.04,1.2,-,0
Long-Term Investments,242.65,239.75,237.95,236.91,-,0
Other Long-Term Assets,0,0,0.03,0.12,-,0.46
Total Long-Term Assets,242.65,239.75,237.98,237.04,-,0.46
Total Assets,243.34,240.6,239.02,238.23,0.57,0.46
Current Debt,0,0,0,0,0.2,0.14
Other Current Liabilities,0.29,0.22,0.24,0.23,0.34,0.3
Total Current Liabilities,0.29,0.22,0.24,0.23,0.55,0.44
Long-Term Debt,3.36,3.34,3.35,4.17,0,0
Other Long-Term Liabilities,14.26,15.33,13.16,17.45,0,0
Total Long-Term Liabilities,17.62,18.67,16.51,21.61,0,0
Total Liabilities,17.92,18.89,16.75,21.84,0.55,0.44
Total Debt,3.36,3.34,3.35,4.17,0.2,0.14
Debt Growth,1567.73%,2314.35%,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-17.23,-18.04,-15.68,-20.52,-0,-0
Shareholders' Equity,-17.23,-18.04,-15.68,-20.52,0.02,0.02
Total Liabilities and Equity,0.69,0.85,1.07,1.32,0.57,0.46
Net Cash / Debt,-2.94,-2.8,-2.69,-3.35,-0.2,-0.14
Net Cash Per Share,-0.10,-0.14,-0.09,-0.18,-0.04,-0.02
Working Capital,0.39,0.63,0.8,0.97,-,-0.44
Book Value Per Share,-0.60,-0.89,-0.55,-1.10,0.00,0.00
