Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.04,0.21,0.41,0.57,0.87,1.16,1.29,1.49,0
Cash & Cash Equivalents,0.04,0.21,0.41,0.57,0.87,1.16,1.29,1.49,0
Cash Growth,-95.15%,-82.09%,-68.53%,-62.00%,-,-,-,-,-
Other Current Assets,0.04,0.11,0.2,0.28,0.3,0.38,0.48,0.59,0.01
Total Current Assets,0.08,0.32,0.6,0.85,1.17,1.54,1.77,2.08,0.01
Long-Term Investments,245.01,242.97,241.87,241.55,241.53,241.52,241.52,241.51,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.42
Total Long-Term Assets,245.01,242.97,241.87,241.55,241.53,241.52,241.52,241.51,0.42
Total Assets,245.09,243.28,242.47,242.4,242.69,243.06,243.29,243.59,0.43
Accounts Payable,0.08,0.04,0.03,0.02,0,0.09,0.02,0.05,0.02
Current Debt,0,0,0,0,0,0,0,0,0.05
Other Current Liabilities,0,0,0.03,0.02,0.12,0.14,0.16,0.15,0.26
Total Current Liabilities,0.08,0.04,0.07,0.04,0.12,0.23,0.19,0.2,0.32
Other Long-Term Liabilities,10.76,10.37,10.93,12.6,16.69,18.08,20.13,24.72,0.11
Total Long-Term Liabilities,10.76,10.37,10.93,12.6,16.69,18.08,20.13,24.72,0.11
Total Liabilities,10.84,10.41,10.99,12.64,16.81,18.31,20.32,24.93,0.44
Total Debt,0,0,0,0,0,0,0,0,0.05
Common Stock,0,0,0,0,0,0,0,2.83,0.03
Retained Earnings,-10.65,-9.99,-10.29,-11.74,-15.62,-16.75,5,2.17,-0.03
Shareholders' Equity,-10.65,-9.99,-10.29,-11.74,-15.62,-16.75,5,5,-0.01
Total Liabilities and Equity,0.18,0.42,0.7,0.9,1.19,1.56,25.32,29.93,0.43
Net Cash / Debt,0.04,0.21,0.41,0.57,0.87,1.16,1.29,1.49,-0.05
Net Cash / Debt Growth,-95.15%,-82.09%,-68.53%,-62.00%,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.03,0.04,0.04,0.07,-0.01
Working Capital,0,0.28,0.54,0.81,1.05,1.3,1.58,1.87,-0.32
Book Value Per Share,-0.35,-0.33,-0.34,-0.39,-0.52,-0.56,0.17,0.24,-0.00
