Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-15
Cash & Equivalents,0.06,0.1,0.18,0.36,0.46,0.01,0.01,-,0.01
Cash & Cash Equivalents,0.06,0.1,0.18,0.36,0.46,0.01,0.01,0,0.01
Cash Growth,-87.98%,918.18%,1753.62%,-,2968.05%,-,-,-,-
Other Current Assets,0.19,0.16,0.13,0.18,0.2,0.17,-,-,-
Total Current Assets,0.24,0.26,0.31,0.55,0.66,0.18,-,-,-
Long-Term Investments,56.89,88.82,88.07,87.65,87.58,0,-,-,-
Other Long-Term Assets,0,0.02,0.09,0.09,0.13,0,-,-,-
Total Long-Term Assets,56.89,88.84,88.16,87.75,87.71,0,-,-,-
Total Assets,57.14,89.1,88.48,88.29,88.38,0.18,0.12,-,0.06
Accounts Payable,0.27,0.02,0.03,0.01,0,0,0,-,0
Current Debt,1.3,0.25,0,0,0,0.17,0.11,-,0
Other Current Liabilities,0.84,0.89,0.16,0.14,0.08,0,0,-,0.05
Total Current Liabilities,2.41,1.16,0.19,0.15,0.08,0.17,0.11,-,0.05
Other Long-Term Liabilities,2.8,2.8,2.8,2.8,2.8,0,0,-,0
Total Long-Term Liabilities,2.8,2.8,2.8,2.8,2.8,0,0,-,0
Total Liabilities,5.21,3.96,2.99,2.95,2.88,0.17,0.11,-,0.05
Total Debt,1.3,0.25,0,0,0,0.17,0.11,-,0
Debt Growth,-,43.56%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-4.19,-3.16,-2.34,-2.2,-2.05,-0.02,-0.02,-,-0.01
Shareholders' Equity,-4.19,-3.16,-2.34,-2.2,-2.05,0.01,0.01,-,0.01
Total Liabilities and Equity,1.03,0.8,0.66,0.75,0.83,0.18,0.12,-,0.06
Net Cash / Debt,-1.24,-0.15,0.18,0.36,0.46,-0.16,-0.1,0,0.01
Net Cash / Debt Growth,-,-,-,-,2968.05%,-,-,-,-
Net Cash Per Share,-0.13,-0.01,0.02,0.03,0.08,-0.09,-0.05,-,-
Working Capital,-2.17,-0.9,0.12,0.4,0.59,0.01,-,-,-
Book Value Per Share,-0.44,-0.28,-0.21,-0.20,-0.34,0.00,0.00,-,-
