Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.09,0.12,0.08,0.19,0.12,0.32,0.81,3.17,0
Cash & Cash Equivalents,0.09,0.12,0.08,0.19,0.12,0.32,0.81,3.17,0
Cash Growth,-25.06%,-61.33%,-89.89%,-94.05%,-,-,-,-,-
Other Current Assets,0,0.06,0.04,0,0.06,0.12,0.18,0.09,0.05
Total Current Assets,0.09,0.18,0.12,0.19,0.18,0.44,0.99,3.26,0.05
Long-Term Investments,48.98,48.57,47.9,46.93,46.92,46.92,46.92,0,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0
Total Long-Term Assets,48.98,48.57,47.9,46.93,46.92,46.92,46.92,0,0
Total Assets,49.07,48.76,48.02,47.12,47.11,47.36,47.92,3.26,0.05
Current Debt,1.37,1.37,0.91,0,0,0,0,0,0
Other Current Liabilities,0.95,0.84,0.58,0.45,0.2,0.16,0.34,3.34,0.04
Total Current Liabilities,2.32,2.2,1.49,0.45,0.2,0.16,0.34,3.34,0.04
Other Long-Term Liabilities,1.85,1.87,3.18,3.16,3.08,3.04,3.09,0,0
Total Long-Term Liabilities,1.85,1.87,3.18,3.16,3.08,3.04,3.09,0,0
Total Liabilities,4.17,4.07,4.67,3.61,3.28,3.2,3.43,3.34,0.04
Total Debt,1.37,1.37,0.91,0,0,0,0,0,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-4.08,-3.89,-4.55,-3.42,-3.1,-2.76,-2.43,-0.11,-0.02
Shareholders' Equity,-4.07,-3.89,-4.55,-3.41,-3.1,-2.76,-2.43,-0.09,0.01
Total Liabilities and Equity,0.09,0.18,0.12,0.19,0.19,0.44,1,3.26,0.05
Net Cash / Debt,-1.27,-1.24,-0.83,0.19,0.12,0.32,0.81,3.17,0
Net Cash / Debt Growth,-,-,-,-94.05%,-,-,-,-,-
Net Cash Per Share,-0.21,-0.21,-0.14,0.03,0.03,0.05,0.15,2.76,-
Working Capital,-2.22,-2.02,-1.37,-0.25,-0.02,0.28,0.66,-0.09,0.01
Book Value Per Share,-0.67,-0.64,-0.75,-0.56,-0.66,-0.46,-0.44,-0.08,0.01
