Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,1.74,2.13,2.28,2.41,0.07,0.37,0,0
Cash & Cash Equivalents,1.74,2.13,2.28,2.41,0.07,0.37,0,0
Cash Growth,2525.78%,471.75%,-,-,-,-,-,-
Other Current Assets,0.46,0.66,0.78,0.79,0.8,1.46,-,-
Total Current Assets,2.2,2.79,3.06,3.2,0.87,1.84,-,-
Long-Term Investments,229.41,229.41,229.41,229.41,229.41,229.41,-,-
Other Long-Term Assets,0,0,0.07,0.26,0.61,0.1,-,-
Total Long-Term Assets,229.41,229.41,229.47,229.67,230.01,229.51,-,-
Total Assets,231.61,232.2,232.54,232.86,230.88,231.35,0.66,0.17
Accounts Payable,0.33,0.33,0.33,0.33,0.33,0.48,0.08,0.01
Current Debt,2.66,0.16,0.16,0.16,0.16,0,0,0
Other Current Liabilities,1.01,1.24,1.21,1.16,0.97,0.84,0.56,0.14
Total Current Liabilities,3.99,1.72,1.69,1.64,1.45,1.32,0.64,0.15
Long-Term Debt,0,2.5,2.5,2.5,0,0,0,0
Other Long-Term Liabilities,8.91,9.93,10.83,12.54,15.7,15.41,0,0
Total Long-Term Liabilities,8.91,12.43,13.33,15.04,15.7,15.41,0,0
Total Liabilities,12.9,14.15,15.02,16.68,17.15,16.73,0.64,0.15
Total Debt,2.66,2.66,2.66,2.66,0.16,0,0,0
Debt Growth,1598.63%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-10.71,-11.36,-11.89,-13.23,-15.68,-14.79,-0.01,-0.01
Shareholders' Equity,-10.71,-11.36,-11.89,-13.23,-15.68,-14.79,0.02,0.02
Total Liabilities and Equity,2.2,2.79,3.13,3.46,1.47,1.94,0.66,0.17
Net Cash / Debt,-0.92,-0.52,-0.38,-0.25,-0.09,0.37,0,0
Net Cash Per Share,-0.04,-0.02,-0.01,-0.01,-0.01,0.02,-,-
Working Capital,-1.79,1.07,1.37,1.56,-0.58,0.52,-,-
Book Value Per Share,-0.42,-0.45,-0.47,-0.52,-1.15,-0.93,0.01,0.01
