Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.95,1.13,1.19,1.28,1.44,0.02,0.03
Cash & Cash Equivalents,0.95,1.13,1.19,1.28,1.44,0.02,0.03
Cash Growth,-34.30%,5699.29%,4658.18%,-,-,-,-
Other Current Assets,0.21,0.25,0.26,0.28,0.25,0,0
Total Current Assets,1.15,1.38,1.46,1.57,1.69,0.02,0.03
Long-Term Investments,237.98,236,234.94,234.62,234.6,0,0
Other Long-Term Assets,0,0.02,0.08,0.14,0.2,0.36,0.36
Total Long-Term Assets,237.98,236.02,235.02,234.76,234.8,0.36,0.36
Total Assets,239.14,237.41,236.48,236.33,236.49,0.38,0.39
Accounts Payable,0,0.06,0.03,0.03,0.11,0.07,0.08
Other Current Liabilities,0.33,0.3,0.22,0.06,0.01,0.29,0.29
Total Current Liabilities,0.34,0.36,0.24,0.09,0.12,0.37,0.37
Long-Term Debt,4.6,4.6,4.6,4.6,4.6,0,0
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0
Total Long-Term Liabilities,12.65,12.65,12.65,12.65,12.65,0,0
Total Liabilities,12.99,13.01,12.89,12.74,12.77,0.37,0.37
Total Debt,4.6,4.6,4.6,4.6,4.6,0,0
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-11.83,-11.61,-11.36,-11.01,-10.88,-0.01,-0.01
Shareholders' Equity,-11.83,-11.61,-11.36,-11.01,-10.88,0.01,0.01
Total Liabilities and Equity,1.15,1.41,1.54,1.73,1.89,0.38,0.39
Net Cash / Debt,-3.65,-3.47,-3.41,-3.32,-3.16,0.02,0.03
Net Cash Per Share,-0.13,-0.12,-0.12,-0.12,-0.34,0.00,0.01
Working Capital,0.82,1.02,1.21,1.47,1.57,-0.35,-0.35
Book Value Per Share,-0.41,-0.40,-0.40,-0.38,-1.15,0.00,0.00
