Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.01,0.03,0.22,0.01,0.01
Cash & Cash Equivalents,0.01,0.03,0.22,0.01,0.01
Cash Growth,17.44%,-,-,-,-
Other Current Assets,0.01,0.04,0.07,0.51,0.33
Total Current Assets,0.01,0.07,0.29,0.52,0.33
Long-Term Investments,94.21,93.42,93.01,0,0
Total Long-Term Assets,94.21,93.42,93.01,0,0
Total Assets,94.22,93.5,93.3,0.52,0.33
Current Debt,0.16,0.05,0,0.32,0.08
Other Current Liabilities,1.9,0.96,0.63,0.22,0.25
Total Current Liabilities,2.06,1.01,0.63,0.55,0.33
Other Long-Term Liabilities,6.45,3.68,3.68,0,0
Total Long-Term Liabilities,6.45,3.68,3.68,0,0
Total Liabilities,8.51,4.69,4.31,0.55,0.33
Total Debt,0.16,0.05,0,0.32,0.08
Debt Growth,96.25%,-,-,-,-
Common Stock,0,0,0,0.03,0.03
Retained Earnings,-8.05,-4.29,-3.93,-0.05,-0.02
Shareholders' Equity,-8.05,-4.29,-3.93,-0.02,0.01
Total Liabilities and Equity,0.45,0.39,0.38,0.52,0.33
Net Cash / Debt,-0.15,-0.02,0.22,-0.31,-0.07
Net Cash Per Share,-0.02,-0.00,0.03,-0.16,-0.04
Working Capital,-2.05,-0.94,-0.34,-0.02,0.01
Book Value Per Share,-0.99,-0.37,-0.55,-0.01,0.00
