Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0.02,0.02,0.07,0,0.63,0.66,0.75,0.88,7.65,10.08
Cash & Cash Equivalents,0.02,0.02,0.07,0,0.63,0.66,0.75,0.88,7.65,10.08
Cash Growth,-97.07%,-96.87%,-90.79%,-99.70%,-91.79%,-93.47%,-,-,-,-
Other Current Assets,0,0.12,0.24,0.36,0,0.14,0.27,0.42,0,-
Total Current Assets,0.02,0.14,0.31,0.36,0.63,0.8,1.02,1.3,7.65,-
Long-Term Investments,329.78,326.98,325.5,325.04,325.02,325.01,325.01,325,0,-
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.44,-
Total Long-Term Assets,329.78,326.98,325.5,325.04,325.02,325.01,325.01,325,0.44,-
Total Assets,329.8,327.12,325.81,325.41,325.65,325.81,326.03,326.31,8.09,10.14
Accounts Payable,0,0,0,0,0,0,0.16,0.14,0,0
Current Debt,0,0,0,0.03,0,0,0,0,0.01,0.01
Other Current Liabilities,0.79,0.6,0.57,0.56,0.55,0.41,0,0,0.31,0.06
Total Current Liabilities,0.79,0.6,0.57,0.59,0.55,0.41,0.16,0.14,0.32,0.07
Long-Term Debt,0.16,0.16,0.16,0,0,0,0,0,0,0
Other Long-Term Liabilities,0,11.38,11.38,11.38,11.38,11.38,11.38,17.5,2.79,0
Total Long-Term Liabilities,0.16,11.53,11.53,11.38,11.38,11.38,11.38,17.5,2.79,0
Total Liabilities,0.95,12.13,12.1,11.97,11.93,11.79,11.53,17.63,3.11,0.07
Total Debt,0.16,0.16,0.16,0.03,0,0,0,0,0.01,0.01
Common Stock,0,0,0,0,0,0,8.63,9.07,4.99,10.08
Retained Earnings,-0.93,-11.99,-11.8,-11.56,-11.28,-10.98,-3.63,-4.07,-0.01,-0.01
Shareholders' Equity,-0.93,-11.99,-11.79,-11.56,-11.28,-10.98,5,5,4.98,10.07
Total Liabilities and Equity,0.02,0.14,0.31,0.41,0.65,0.81,16.53,22.63,8.09,10.14
Net Cash / Debt,-0.14,-0.14,-0.09,-0.02,0.63,0.66,0.75,0.88,7.64,10.07
Net Cash / Debt Growth,-,-,-,-,-91.78%,-93.46%,-,-,-,-
Net Cash Per Share,-0.00,-0.00,-0.00,-0.00,0.02,0.02,0.02,0.02,1.02,1.15
Working Capital,-0.77,-0.46,-0.26,-0.23,0.07,0.39,0.87,1.16,7.33,-
Book Value Per Share,-0.02,-0.29,-0.29,-0.28,-0.30,-0.27,0.12,0.14,0.66,1.15
