Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-19
Cash & Equivalents,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.04,0.03
Cash & Cash Equivalents,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.04,0.03
Cash Growth,0%,0%,0%,-47.18%,60.26%,171.78%,-,-,-,-
Other Current Assets,0.07,0.12,0.25,0.37,0.42,0.55,0.68,0.8,0,-
Total Current Assets,0.14,0.19,0.31,0.44,0.49,0.61,0.74,0.93,0.04,-
Long-Term Investments,20.15,277.62,276.4,276.05,276.03,276.02,276.01,276.01,0,-
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.14,-
Total Long-Term Assets,20.15,277.62,276.4,276.05,276.03,276.02,276.01,276.01,0.14,-
Total Assets,20.29,277.81,276.72,276.49,276.51,276.63,276.76,276.93,0.18,0.06
Accounts Payable,0.32,0.24,0.28,0.22,0.32,0.34,0.24,0.13,0,0
Current Debt,0.65,0.83,0.59,0.54,0.14,0,0,0,0.16,0.03
Other Current Liabilities,0.07,0.2,0.02,0,0,0,0,0,0,0
Total Current Liabilities,1.04,1.27,0.9,0.76,0.45,0.34,0.24,0.13,0.16,0.03
Other Long-Term Liabilities,10.24,10.63,11.85,12.83,19.49,24.54,26.37,23.1,0,0
Total Long-Term Liabilities,10.24,10.63,11.85,12.83,19.49,24.54,26.37,23.1,0,0
Total Liabilities,11.28,11.9,12.76,13.59,19.95,24.89,26.61,23.23,0.16,0.03
Total Debt,0.65,0.83,0.59,0.54,0.14,0,0,0,0.16,0.03
Debt Growth,379.84%,-,-,-,-12.36%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,3.56,0,0.03,0.03
Retained Earnings,-11.1,-11.1,-12.1,-13.1,-19.43,-24.26,1.44,5,-0,-0
Shareholders' Equity,-11.1,-11.09,-12.1,-13.1,-19.43,-24.26,5,5,0.02,0.02
Total Liabilities and Equity,0.18,0.8,0.65,0.49,0.51,0.63,31.61,28.23,0.18,0.06
Net Cash / Debt,-0.58,-0.76,-0.53,-0.47,-0.07,0.07,0.07,0.13,-0.11,-0.01
Net Cash Per Share,-0.02,-0.02,-0.02,-0.01,-0.00,0.00,0.00,0.00,-0.02,-0.00
Working Capital,-0.9,-1.07,-0.59,-0.32,0.03,0.27,0.5,0.8,-0.11,-
Book Value Per Share,-0.33,-0.32,-0.35,-0.38,-0.56,-0.70,0.14,0.18,0.00,0.01
