Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.16,0.23,0.57,0.64,0.75,0.79,0,0
Cash & Cash Equivalents,0.16,0.23,0.57,0.64,0.75,0.79,0,0
Cash Growth,-78.28%,-71.31%,-,-,-,-,-,-
Other Current Assets,0.12,0.18,0,0.06,0.14,0.23,-,-
Total Current Assets,0.28,0.41,0.57,0.7,0.89,1.02,-,-
Long-Term Investments,18.74,59,58.16,58.08,58.08,58.08,-,-
Total Long-Term Assets,18.74,59,58.16,58.08,58.08,58.08,-,-
Total Assets,19.03,59.41,58.73,58.78,58.97,59.09,0.09,0.03
Accounts Payable,0.13,0.01,0.01,0.01,0.01,0.01,0.15,0.02
Current Debt,0.65,0.58,0,0,0,0,0,0
Other Current Liabilities,0.02,0.11,0.09,0.04,0.03,0.05,0,0
Total Current Liabilities,0.8,0.7,0.1,0.05,0.04,0.06,0.15,0.03
Other Long-Term Liabilities,0.75,0.75,0.75,0.75,0.75,0.75,0,0
Total Long-Term Liabilities,0.75,0.75,0.75,0.75,0.75,0.75,0,0
Total Liabilities,1.55,1.45,0.85,0.8,0.79,0.81,0.15,0.03
Total Debt,0.65,0.58,0,0,0,0,0,0
Common Stock,0,0,1.57,4.16,6.54,5.27,0.03,0.03
Retained Earnings,-1.26,-1.04,-0.68,-0.58,-0.38,-0.27,-0.09,-0.02
Shareholders' Equity,-1.26,-1.04,0.9,3.58,6.16,5,-0.07,0
Total Liabilities and Equity,0.28,0.41,1.75,4.38,6.95,5.81,0.09,0.03
Net Cash / Debt,-0.49,-0.35,0.57,0.64,0.75,0.79,0,0
Net Cash Per Share,-0.09,-0.05,0.08,0.09,0.17,0.16,-,-
Working Capital,-0.51,-0.29,0.46,0.65,0.85,0.96,-,-
Book Value Per Share,-0.24,-0.14,0.12,0.48,1.40,1.04,-0.06,0.02
