Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-19
Cash & Equivalents,0.07,0.13,0.49,0.67,0,0,-,0
Cash & Cash Equivalents,0.07,0.13,0.49,0.67,0,0,0,0
Other Current Assets,0.13,0.1,0.12,0.22,0.03,-,-,-
Total Current Assets,0.19,0.23,0.61,0.89,0.03,-,-,-
Long-Term Investments,308.66,306.36,304.91,304.66,0,-,-,-
Other Long-Term Assets,0,0,0,0,0.54,-,-,-
Total Long-Term Assets,308.66,306.36,304.91,304.66,0.54,-,-,-
Total Assets,308.85,306.58,305.52,305.55,0.57,0.29,-,0.04
Accounts Payable,0.68,0.22,0.23,0.1,0.22,0.09,-,0
Current Debt,0.25,0,0,0,0.13,0.05,-,0
Other Current Liabilities,1.68,0.16,0.2,0.24,0.24,0.14,-,0.03
Total Current Liabilities,2.61,0.38,0.43,0.35,0.59,0.29,-,0.03
Other Long-Term Liabilities,14.28,14.28,14.28,14.28,0,0,-,0
Total Long-Term Liabilities,14.28,14.28,14.28,14.28,0,0,-,0
Total Liabilities,16.89,14.66,14.71,14.63,0.59,0.29,-,0.03
Total Debt,0.25,0,0,0,0.13,0.05,-,0
Debt Growth,85.50%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-16.59,-14.33,-14,-13.58,-0.04,-0.02,-,-0.01
Shareholders' Equity,-16.59,-14.33,-14,-13.58,-0.02,0,-,0.01
Total Liabilities and Equity,0.29,0.33,0.71,1.05,0.57,0.29,-,0.04
Net Cash / Debt,-0.18,0.13,0.49,0.67,-0.13,-0.05,0,0
Net Cash Per Share,-0.02,0.01,0.01,0.02,-0.01,-0.01,-,-
Working Capital,-2.41,-0.15,0.18,0.54,-0.56,-,-,-
Book Value Per Share,-1.66,-1.43,-0.34,-0.37,-0.00,-,-,-
