Metrics,2023-03-31,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,+58 Quarters
Long-Term Debt,"124,948","119,497","108,596","115,499","116,014","108,228","172,131","104,527","78,954","112,365","137,835","141,452","144,922","135,928","133,134","135,695","142,004","132,324","121,578","115,308","131,754","136,196","149,429","142,167","147,620","151,589","157,222","152,778","181,435","26,998","28,649","26,414","180,388","30,042","179,192","168,120","315,321","165,336","163,105","299,245",Upgrade
Other Long-Term Liabilities,"-124,948","159,533","-108,596","-115,499","-116,014","-108,228","-172,131","-104,527","-78,954","-112,365","-137,835","-141,452","-144,922","-135,928","-133,134","-135,695","-142,004","-132,324","-121,578","-115,308","-131,754","-136,196","-149,429","-142,167","-147,620","-151,589","-157,222","-152,778","-181,435","-26,998","-28,649","-26,414","-180,388","-30,042","-179,192","-168,120","-315,321","-165,336","-163,105","-299,245",Upgrade
Total Long-Term Liabilities,0,"279,030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Total Liabilities,0,"917,406","968,023","953,846","896,634","932,367","921,037","924,888","888,683","901,250","929,514","889,394","837,081","867,981","859,931","851,312","835,295","855,265","795,095","811,692","794,682","835,954","793,299","815,398","817,577","987,411","933,025","935,831","1,109,286","1,191,199","1,181,248","1,190,282","1,227,351","1,183,426","1,198,745","1,212,226","1,223,640","1,191,986","1,122,936","1,150,333",Upgrade
Total Debt,"124,948","119,497","108,596","115,499","116,014","108,228","172,131","104,527","78,954","112,365","137,835","141,452","144,922","135,928","133,134","135,695","142,004","132,324","121,578","115,308","131,754","136,196","149,429","142,167","147,620","151,589","157,222","152,778","181,435","26,998","28,649","26,414","180,388","30,042","179,192","168,120","315,321","165,336","163,105","299,245",Upgrade
Debt Growth,7.70%,10.41%,-36.91%,10.50%,46.94%,-3.68%,24.88%,-26.10%,-45.52%,-17.33%,3.53%,4.24%,2.05%,2.72%,9.51%,17.68%,7.78%,-2.84%,-18.64%,-18.89%,-10.75%,-10.15%,-4.96%,-6.95%,-18.64%,461.48%,448.79%,478.40%,0.58%,-10.13%,-84.01%,-84.29%,-42.79%,-81.83%,9.86%,-43.82%,11.64%,-48.11%,-26.64%,119.34%,Upgrade
Common Stock,0,37,39,0,39,0,39,0,525,"17,128",39,"17,127",39,"17,116",39,"17,115",39,39,39,39,39,931,928,928,928,926,925,0,919,0,919,0,919,0,919,0,919,0,919,0,Upgrade
Retained Earnings,0,"34,944","35,886",0,"37,318",0,"37,217",0,"28,273","37,703","33,581","36,522","32,663","34,930","31,297","34,636","30,258","29,401","28,999","27,679","26,907","27,818","26,824",0,0,0,"23,724",0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Comprehensive Income,0,-985,564,0,"1,070",0,"1,869",0,"2,334",-616,"3,600",692,"4,000","1,470","4,192","1,045","3,596","3,516","4,377","4,973","5,905","4,293","30,850","29,040","29,786","36,527","29,663",0,"32,558",0,"28,993",0,"25,499",0,"21,417",0,0,0,"14,168",0,Upgrade
Shareholders' Equity,"51,679","49,907","51,628","53,475","53,920","55,439","56,222","55,041","47,674","54,206","54,306","54,335","53,770","53,511","52,597","52,788","50,932","49,985","50,406","49,685","49,793","49,086","47,832","46,022","46,767","53,503","46,634","47,166","49,511","55,877","48,946","50,616","42,452","45,067","38,370","47,475","42,734","43,235","31,121","36,515",Upgrade
Total Liabilities and Equity,"1,022,188","967,817","1,020,064","1,007,922","950,554","987,806","977,259","979,929","936,357","955,456","983,820","943,729","890,851","921,492","912,528","904,100","886,227","905,250","845,501","861,377","844,475","885,040","841,131","861,420","864,344","1,040,914","979,659","982,997","1,158,797","1,247,076","1,230,194","1,240,898","1,269,803","1,228,493","1,237,115","1,259,701","1,266,374","1,235,221","1,154,057","1,186,848",Upgrade
Net Cash / Debt,"26,888","-1,264","47,375","44,882","21,790","49,400","-18,673","40,951","68,115","34,781","18,784","-41,551","-57,128","-47,857","-51,636","-58,854","-59,930","-65,413","-87,389","-24,279","-97,267","7,494","-117,368","14,258",-502,"-2,051","-132,624","-4,991","-134,747","46,157","34,927","70,614","-124,418","41,694","-141,104","-95,670","-301,956","-147,379","-119,934","-284,929",Upgrade
Net Cash / Debt Growth,23.40%,-,-,9.60%,-68.01%,42.03%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.70%,-,-,-,-,-,-,-,-,-,-,Upgrade
Net Cash Per Share,7.43,-0.35,12.59,11.93,5.77,12.66,-,10.49,17.46,8.83,4.77,-10.54,-14.93,-12.46,-13.38,-15.25,-15.54,-16.86,-22.83,-6.34,-24.92,1.92,-30.09,3.68,-0.13,-0.53,-34.41,-1.30,-34.93,12.01,9.07,18.41,-32.50,10.96,-37.07,-25.13,-79.40,-38.94,-31.90,-75.78,Upgrade
Working Capital,"-520,937","156,813","160,381","139,156",0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,Upgrade
Book Value Per Share,14.28,13.79,13.72,14.21,14.28,14.20,-,14.10,12.22,13.76,13.78,13.79,14.05,13.94,13.63,13.68,13.20,12.88,13.17,12.98,12.75,12.57,12.26,11.90,12.11,13.87,12.10,12.25,12.86,14.56,12.71,13.19,11.09,11.85,10.08,12.47,11.29,11.42,8.28,9.71,Upgrade
