Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.71,0.75,0.81,0,0
Cash & Cash Equivalents,0.71,0.75,0.81,0,0
Other Current Assets,0.16,0.16,0.25,-,0.25
Total Current Assets,0.87,0.91,1.05,-,0.25
Long-Term Investments,82.74,82.15,82.11,-,0
Other Long-Term Assets,0.01,0.05,0,-,0
Total Long-Term Assets,82.75,82.21,82.11,-,0
Total Assets,83.62,83.11,83.16,0.32,0.25
Accounts Payable,0.83,0.13,0.15,0,0
Current Debt,0,0,0,0.3,0.22
Total Current Liabilities,0.83,0.13,0.15,0.3,0.22
Other Long-Term Liabilities,2.82,2.82,2.82,0,0
Total Long-Term Liabilities,2.82,2.82,2.82,0,0
Total Liabilities,3.64,2.95,2.97,0.3,0.22
Total Debt,0,0,0,0.3,0.22
Common Stock,0,0,0,0.03,0.03
Retained Earnings,-2.76,-1.99,-1.91,-0,-0
Shareholders' Equity,-2.76,-1.99,-1.91,0.02,0.02
Total Liabilities and Equity,0.88,0.96,1.05,0.32,0.25
Net Cash / Debt,0.71,0.75,0.81,-0.3,-0.22
Net Cash Per Share,0.09,0.07,0.10,-0.15,-
Working Capital,0.04,0.77,0.91,-,0.02
Book Value Per Share,-0.35,-0.19,-0.24,0.01,0.01
