Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+29 Quarters
Cash & Equivalents,"10,163","8,897","11,870","11,471","9,643","11,332","12,748","16,368","20,674","13,589","10,089","15,167","11,211","6,964","6,112","11,353","15,213","15,145","16,609","15,919","17,098","13,387","14,528","13,043","16,263","12,009","13,023","10,715","13,145","9,671","10,348","11,349","11,923","7,390","7,485","7,184","9,894","6,736","5,806","6,281",Upgrade
Cash & Cash Equivalents,"10,163","8,897","11,870","11,471","9,643","11,332","12,748","16,368","20,674","13,589","10,089","15,167","11,211","6,964","6,112","11,353","15,213","15,145","16,609","15,919","17,098","13,387","14,528","13,043","16,263","12,009","13,023","10,715","13,145","9,671","10,348","11,349","11,923","7,390","7,485","7,184","9,894","6,736","5,806","6,281",Upgrade
Cash Growth,5.39%,-21.49%,-6.89%,-29.92%,-53.36%,-16.61%,26.36%,7.92%,84.41%,95.13%,65.07%,33.59%,-26.31%,-54.02%,-63.20%,-28.68%,-11.02%,13.13%,14.32%,22.05%,5.13%,11.47%,11.56%,21.73%,23.72%,24.18%,25.85%,-5.59%,10.25%,30.87%,38.25%,57.98%,20.51%,9.71%,28.92%,14.38%,15.73%,7.43%,-,-,Upgrade
"Property, Plant & Equipment","1,031","1,003","1,015",984,984,983,987,986,"1,021","1,027","1,121","1,115","1,070","1,057","1,028","1,008",980,936,896,874,848,825,800,774,750,734,722,708,706,693,684,688,678,670,661,665,668,654,639,607,Upgrade
Goodwill and Intangibles,255,255,255,255,255,255,256,256,350,350,350,351,410,410,414,415,415,416,417,417,417,418,418,419,420,421,421,422,422,423,424,425,432,433,461,463,466,469,472,475,Upgrade
Total Assets,"133,061","131,628","121,886","114,600","107,412","110,242","108,544","110,985","113,871","112,889","124,349","113,792","112,657","113,996","110,786","110,707","110,720","109,553","105,842","102,751","101,967","100,087","97,608","93,757","94,795","92,308","90,541","87,511","88,093","86,799","85,611","84,911","84,178","83,126","80,596","78,937","79,584","79,340","75,544","74,944",Upgrade
Total Liabilities,"118,746","117,038","107,600","100,836","93,979","96,834","95,281","97,814","101,717","102,005","114,097","104,149","102,992","102,137","99,069","99,214","99,461","98,423","94,826","91,862","91,096","89,195","86,421","82,498","83,530","80,985","79,194","76,114","76,777","75,524","74,308","73,648","72,967","71,992","69,295","67,556","68,563","68,531","64,942","64,496",Upgrade
Total Debt,"18,163","20,108","20,177","19,985","17,132","20,227","18,516","19,350","21,011","21,241","32,541","23,194","26,098","25,701","24,454","25,163","26,276","27,228","26,998","26,252","26,244","26,326","26,737","26,438","26,823","25,443","26,830","24,681","24,752","24,650","23,800","24,243","23,090","22,657","21,057","20,177","20,306","20,614","18,789","18,295",Upgrade
Debt Growth,6.02%,-0.59%,8.97%,3.28%,-18.46%,-4.77%,-43.10%,-16.57%,-19.49%,-17.35%,33.07%,-7.82%,-0.68%,-5.61%,-9.42%,-4.15%,0.12%,3.43%,0.98%,-0.70%,-2.16%,3.47%,-0.35%,7.12%,8.37%,3.22%,12.73%,1.81%,7.20%,8.80%,13.03%,20.15%,13.71%,9.91%,12.07%,10.29%,4.03%,3.00%,-,-,Upgrade
Common Stock,"-14,742","-13,524","-12,946","-12,761","-12,187","-11,264","-10,515","-9,726","-9,212","-9,116","-9,133","-9,152","-9,644","-9,312","-8,929","-8,531","-8,089","-7,620","-7,178","-6,736","-6,201","-5,643","-5,117","-4,580","-4,148","-3,646","-3,184","-2,617","-2,210","-1,815","-1,397",-977,-564,-195,189,794,953,"1,266","1,596","1,926",Upgrade
