Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.09,0.1,0.02,0.16,0.44,0.58,0.68,1.11,0.12
Cash & Cash Equivalents,0.09,0.1,0.02,0.16,0.44,0.58,0.68,1.11,0.12
Cash Growth,-80.49%,-83.17%,-97.14%,-85.46%,252.28%,-,-,-,-
Other Current Assets,0.01,0,0,0,0,0,0,0,0
Total Current Assets,0.1,0.1,0.02,0.16,0.44,0.58,0.68,1.11,0.12
Long-Term Investments,404.21,402.15,400.58,400.04,400.03,400.02,400.02,400.01,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.05
Total Long-Term Assets,404.21,402.15,400.58,400.04,400.03,400.02,400.02,400.01,0.05
Total Assets,404.3,402.25,400.61,400.2,400.48,400.6,400.7,401.13,0.18
Accounts Payable,2.3,2.27,2.16,2.09,2.18,0.49,0.36,0.12,0
Current Debt,0,0,0,0,0,0,0,0,0.15
Other Current Liabilities,383.33,0.35,0.06,0,0,0.01,0.02,0.07,0
Total Current Liabilities,385.62,2.62,2.22,2.09,2.18,0.5,0.37,0.18,0.15
Other Long-Term Liabilities,15.07,14.53,15.78,21.46,25.18,39.03,57.31,38.71,0
Total Long-Term Liabilities,15.07,14.53,15.78,21.46,25.18,39.03,57.31,38.71,0
Total Liabilities,400.69,17.15,17.99,23.55,27.36,39.53,57.68,38.89,0.15
Total Debt,0,0,0,0,0,0,0,0,0.15
Common Stock,0,0,0,0,0,0,31.95,12.73,0.03
Retained Earnings,-17.27,-16.48,-17.61,-23.35,-26.89,-38.92,-26.95,-7.73,-0
Shareholders' Equity,-17.26,-16.48,-17.61,-23.35,-26.88,-38.92,5,5,0.02
Total Liabilities and Equity,383.43,0.67,0.38,0.2,0.48,0.6,62.68,43.89,0.18
Net Cash / Debt,0.09,0.1,0.02,0.16,0.44,0.58,0.68,1.11,-0.03
Net Cash / Debt Growth,-80.49%,-83.17%,-97.14%,-85.46%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,-0.00
Working Capital,-385.53,-2.52,-2.19,-1.93,-1.73,0.08,0.3,0.93,-0.03
Book Value Per Share,-0.35,-0.33,-0.35,-0.47,-0.54,-0.78,0.10,0.14,0.00
