Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-08-04
Cash & Equivalents,0.09,0.3,0.36,0.44,0.68,0.93,0,0
Cash & Cash Equivalents,0.09,0.3,0.36,0.44,0.68,0.93,0,0
Cash Growth,-87.02%,-67.69%,-,-,-,-,-,-
Other Current Assets,0.35,0.39,0.45,0.48,0.44,0.44,-,-
Total Current Assets,0.44,0.69,0.81,0.92,1.12,1.36,-,-
Long-Term Investments,360.76,356.98,354,352.41,351.94,351.9,-,-
Other Long-Term Assets,0,0,0.07,0.18,0.3,0.41,-,-
Total Long-Term Assets,360.76,356.98,354.07,352.59,352.24,352.32,-,-
Total Assets,361.2,357.67,354.88,353.51,353.36,353.68,0.15,0.07
Accounts Payable,0.79,0.63,0.63,0.61,0.1,0.15,0,0
Other Current Liabilities,0,0,0,0,0,0,0.13,0.05
Total Current Liabilities,0.79,0.63,0.63,0.61,0.1,0.15,0.13,0.05
Other Long-Term Liabilities,3.41,2.22,3.82,6.2,9.16,19.96,0,0
Total Long-Term Liabilities,3.41,2.22,3.82,6.2,9.16,19.96,0,0
Total Liabilities,4.2,2.85,4.45,6.82,9.26,20.11,0.13,0.05
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-3.77,-2.16,-3.57,-5.72,-7.81,-18.33,-0,-0
Shareholders' Equity,-3.77,-2.16,-3.57,-5.72,-7.8,-18.33,0.02,0.02
Total Liabilities and Equity,0.44,0.69,0.88,1.1,1.46,1.78,0.15,0.07
Net Cash / Debt,0.09,0.3,0.36,0.44,0.68,0.93,0,0
Net Cash / Debt Growth,-87.02%,-67.69%,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.01,0.02,0.08,-,-
Working Capital,-0.36,0.06,0.18,0.31,1.02,1.21,-,-
Book Value Per Share,-0.09,-0.05,-0.08,-0.13,-0.18,-1.50,0.00,0.00
