Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.12,0.08,0.05,0.06,0.47,0.36,1.11,1.38,0
Cash & Cash Equivalents,0.12,0.08,0.05,0.06,0.47,0.36,1.11,1.38,0
Cash Growth,-74.66%,-76.75%,-95.62%,-95.57%,-,-,-,-,-
Other Current Assets,0.31,0.7,1.12,1.49,1.88,2.28,2.69,3.02,0.01
Total Current Assets,0.43,0.78,1.17,1.55,2.36,2.64,3.8,4.4,0.01
Long-Term Investments,583.46,578.5,575.9,575.08,575.03,575.02,575.01,575,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.08
Total Long-Term Assets,583.46,578.5,575.9,575.08,575.03,575.02,575.01,575,0.08
Total Assets,583.89,579.28,577.07,576.63,577.39,577.66,578.81,579.4,0.09
Accounts Payable,0.03,0.04,0,0.05,0.02,0.01,0.11,0.06,0
Other Current Liabilities,1.08,1.4,1.31,0.94,0.73,0.92,0.88,0.34,0.08
Total Current Liabilities,1.11,1.44,1.31,0.99,0.75,0.93,0.99,0.4,0.08
Long-Term Debt,1.47,0.82,0.67,0.4,0.4,0,0,0,0
Other Long-Term Liabilities,22.44,21.92,25.22,30.8,36.06,49.95,55.14,72.34,0
Total Long-Term Liabilities,23.91,22.74,25.89,31.2,36.46,49.95,55.14,72.34,0
Total Liabilities,25.02,24.18,27.2,32.19,37.21,50.88,56.13,72.74,0.08
Total Debt,1.47,0.82,0.67,0.4,0.4,0,0,0,0
Debt Growth,268.50%,-,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,12.14,0.03
Retained Earnings,-24.5,-23.3,-25.93,-30.56,-34.83,-48.22,5,-7.14,-0.01
Shareholders' Equity,-24.5,-23.3,-25.93,-30.56,-34.82,-48.22,5,5,0.01
Total Liabilities and Equity,0.53,0.88,1.27,1.63,2.39,2.66,61.13,77.74,0.09
Net Cash / Debt,-1.35,-0.74,-0.62,-0.34,0.07,0.36,1.11,1.38,0
Net Cash Per Share,-0.02,-0.01,-0.01,-0.00,0.00,0.00,0.02,0.04,-
Working Capital,-0.69,-0.66,-0.14,0.56,1.61,1.71,2.81,3.99,-0.07
Book Value Per Share,-0.34,-0.32,-0.36,-0.42,-0.48,-0.67,0.07,0.14,0.00
