Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-08
Cash & Equivalents,0.6,0.43,0.38,0.62,0.77,0.01,0,0.03
Cash & Cash Equivalents,0.6,0.43,0.38,0.62,0.77,0.01,0,0.03
Cash Growth,-22.57%,3947.14%,9273.87%,1952.09%,-,-,-,-
Other Current Assets,0.18,0.24,0.26,0.22,0.23,0,0.07,0.01
Total Current Assets,0.78,0.68,0.64,0.83,1,0.01,0.07,0.03
Long-Term Investments,44.69,102.01,101.65,101.52,101.5,0,0,0
Other Long-Term Assets,0,0.01,0.07,0.18,0.18,0.1,0,0
Total Long-Term Assets,44.69,102.02,101.72,101.7,101.68,0.1,0,0
Total Assets,45.47,102.69,102.35,102.53,102.68,0.11,0.07,0.03
Accounts Payable,0.67,0.3,0.18,0.12,0.09,0,0,0
Current Debt,0,0,0,0,0,0.04,0.01,0.01
Other Current Liabilities,34.71,0.22,0.1,0.16,0.11,0.05,0.04,0
Total Current Liabilities,35.37,0.52,0.28,0.28,0.2,0.09,0.05,0.01
Other Long-Term Liabilities,3.86,3.86,4.5,5.07,5.85,0,0,0
Total Long-Term Liabilities,3.86,3.86,4.5,5.07,5.85,0,0,0
Total Liabilities,39.23,4.38,4.78,5.35,6.06,0.09,0.05,0.01
Total Debt,0,0,0,0,0,0.04,0.01,0.01
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-4.25,-3.19,-3.92,-4.32,-4.88,-0,-0,-0
Shareholders' Equity,-4.25,-3.19,-3.92,-4.32,-4.88,0.02,0.02,0.02
Total Liabilities and Equity,34.98,1.19,0.85,1.03,1.18,0.11,0.07,0.03
Net Cash / Debt,0.6,0.43,0.38,0.62,0.77,-0.03,-0.01,0.02
Net Cash / Debt Growth,-22.57%,-,-,2979.00%,-,-,-,-
Net Cash Per Share,0.05,0.03,0.03,0.05,0.16,-0.01,-0.00,-
Working Capital,-34.59,0.15,0.36,0.55,0.8,-0.08,0.02,0.02
Book Value Per Share,-0.37,-0.26,-0.31,-0.35,-0.98,0.01,0.01,-
