Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-22
Cash & Equivalents,0.68,0.52,0.73,0.95,1.12,1.75,0.09,0
Cash & Cash Equivalents,0.68,0.52,0.73,0.95,1.12,1.75,0.09,0
Cash Growth,-39.40%,-70.25%,728.03%,-,-,-,-,-
Other Current Assets,0.24,0.22,0.25,0.3,0.31,0.02,0,0
Total Current Assets,0.92,0.74,0.97,1.25,1.44,1.76,0.09,0
Long-Term Investments,178.53,177.01,176.22,175.97,175.95,175.95,0,0
Other Long-Term Assets,0,0,0,0.02,0.1,0,0.23,0.03
Total Long-Term Assets,178.53,177.01,176.22,175.99,176.05,175.95,0.23,0.03
Total Assets,179.45,177.76,177.19,177.24,177.49,177.71,0.32,0.03
Accounts Payable,0.16,0.06,0,0,0,0,0,0
Current Debt,1.5,0,0,0,0,0,0.28,0
Other Current Liabilities,0.84,1.51,0.78,0.54,0.24,0.07,0.03,0.02
Total Current Liabilities,2.5,1.57,0.78,0.54,0.24,0.07,0.31,0.02
Other Long-Term Liabilities,178.53,177.01,176.22,175.97,175.95,175.95,0,0
Total Long-Term Liabilities,178.53,177.01,176.22,175.97,175.95,175.95,0,0
Total Liabilities,181.03,178.59,177,176.51,176.19,176.02,0.31,0.02
Total Debt,1.5,0,0,0,0,0,0.28,0
Common Stock,0,0.64,1.44,1.69,1.71,1.73,0.03,0.03
Retained Earnings,-1.58,-1.47,-1.25,-0.96,-0.41,-0.03,-0.02,-0.02
Shareholders' Equity,-1.58,-0.83,0.19,0.73,1.3,1.7,0.01,0.01
Total Liabilities and Equity,179.45,177.76,177.19,177.24,177.49,177.71,0.32,0.03
Net Cash / Debt,-0.82,0.52,0.73,0.95,1.12,1.75,-0.19,0
Net Cash / Debt Growth,-,-70.25%,-,-,-,-,-,-
Net Cash Per Share,-0.04,0.02,0.03,0.04,0.11,0.21,-0.05,-
Working Capital,-1.58,-0.83,0.19,0.71,1.2,1.7,-0.22,-0.02
Book Value Per Share,-0.07,-0.04,0.01,0.03,0.13,0.21,0.00,0.00
