Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.73,1,1.39,1.74,2.12,2.37,0.5,0.5
Cash & Cash Equivalents,0.73,1,1.39,1.74,2.12,2.37,0.5,0.5
Cash Growth,-65.78%,-57.59%,178.58%,247.54%,-,-,-,-
Other Current Assets,0.19,0.29,0.37,0.38,0.34,0.37,-,-
Total Current Assets,0.92,1.3,1.76,2.12,2.46,2.74,-,-
Long-Term Investments,286.58,284.19,282.92,282.54,282.51,282.5,-,-
Other Long-Term Assets,0,0,0.03,0.11,0.19,0.28,-,-
Total Long-Term Assets,286.58,284.19,282.94,282.65,282.7,282.78,-,-
Total Assets,287.5,285.49,284.7,284.77,285.17,285.52,1.04,0.95
Accounts Payable,0.05,0.04,0.04,0.08,0.1,0.01,0,0
Current Debt,0,0,0,0,0,0,0.65,0.62
Other Current Liabilities,1.21,0.65,0.49,0.32,0.09,0.07,0.37,0.31
Total Current Liabilities,1.27,0.7,0.52,0.39,0.19,0.08,1.02,0.93
Other Long-Term Liabilities,10.37,11.21,11.15,14.35,18.16,17.97,2.04,2.25
Total Long-Term Liabilities,10.37,11.21,11.15,14.35,18.16,17.97,2.04,2.25
Total Liabilities,11.64,11.91,11.67,14.74,18.36,18.06,3.06,3.19
Total Debt,0,0,0,0,0,0,0.65,0.62
Common Stock,0,0,0,0,0,0,0.02,0.02
Retained Earnings,-10.72,-10.61,-9.88,-12.51,-15.7,-15.04,-2.04,-2.26
Shareholders' Equity,-10.72,-10.61,-9.88,-12.51,-15.7,-15.04,-2.02,-2.24
Total Liabilities and Equity,0.92,1.3,1.79,2.23,2.66,3.02,1.04,0.95
Net Cash / Debt,0.73,1,1.39,1.74,2.12,2.37,-0.15,-0.12
Net Cash / Debt Growth,-65.78%,-57.59%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.03,0.04,0.05,0.10,0.09,-0.02,-0.02
Working Capital,-0.35,0.6,1.24,1.73,2.27,2.66,-,-
Book Value Per Share,-0.30,-0.29,-0.27,-0.35,-0.78,-0.57,-0.32,-0.36
