Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.47,0.51,0.55,0.68,0.97,1.15,1.24,0
Cash & Cash Equivalents,0.47,0.51,0.55,0.68,0.97,1.15,1.24,0
Cash Growth,-50.89%,-55.65%,-55.60%,-,-,-,-,-
Other Current Assets,0.2,0.31,0.42,0.44,0.45,0.47,0.43,-
Total Current Assets,0.67,0.82,0.97,1.12,1.42,1.61,1.67,-
Long-Term Investments,344.83,342.66,341.39,340.93,340.91,340.9,340.9,-
Other Long-Term Assets,0,0,0,0.09,0.19,0.3,0.41,-
Total Long-Term Assets,344.83,342.66,341.39,341.02,341.1,341.2,341.3,-
Total Assets,345.5,343.48,342.36,342.14,342.52,342.81,342.97,0.03
Accounts Payable,0.2,0.17,0.14,0.11,0.08,0.21,0.18,0
Other Current Liabilities,0.6,0.61,0.25,0.06,0.14,0,0,0.01
Total Current Liabilities,0.81,0.79,0.4,0.17,0.22,0.21,0.18,0.01
Other Long-Term Liabilities,12.63,13.49,14.7,18.16,26.82,27.86,29.53,0
Total Long-Term Liabilities,12.63,13.49,14.7,18.16,26.82,27.86,29.53,0
Total Liabilities,13.43,14.28,15.1,18.34,27.04,28.07,29.72,0.01
Common Stock,0,0,0,0,0,0,0,0.03
Retained Earnings,-12.4,-13.03,-14.13,-17.13,-25.43,-26.17,-27.64,-0
Shareholders' Equity,-12.4,-13.03,-14.13,-17.13,-25.43,-26.16,-27.64,0.02
Total Liabilities and Equity,1.03,1.25,0.97,1.21,1.61,1.91,2.08,0.03
Net Cash / Debt,0.47,0.51,0.55,0.68,0.97,1.15,1.24,0
Net Cash / Debt Growth,-50.89%,-55.65%,-55.60%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.02,0.02,0.04,0.03,0.22,-
Working Capital,-0.13,0.03,0.57,0.94,1.2,1.4,1.49,-
Book Value Per Share,-0.36,-0.38,-0.41,-0.50,-1.18,-0.77,-4.92,0.00
