Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Cash & Equivalents,"67,228","53,542","41,652","39,124","44,303","28,905","63,904","44,573","43,501","62,580","44,047","52,392","46,805","22,405","15,272","16,932","18,115","21,453","20,082","19,021","19,246","19,505","20,540","28,964","20,319","15,705","23,664","14,038","10,981","11,147","10,450","17,925","14,072","10,654","6,183","12,636","7,408","8,477","11,615","6,618",Upgrade
Cash & Cash Equivalents,"67,228","53,542","41,652","39,124","44,303","28,905","63,904","44,573","43,501","62,580","44,047","52,392","46,805","22,405","15,272","16,932","18,115","21,453","20,082","19,021","19,246","19,505","20,540","28,964","20,319","15,705","23,664","14,038","10,981","11,147","10,450","17,925","14,072","10,654","6,183","12,636","7,408","8,477","11,615","6,618",Upgrade
Cash Growth,51.75%,85.23%,-34.82%,-12.22%,1.84%,-53.81%,45.08%,-14.92%,-7.06%,179.31%,188.42%,209.43%,158.38%,4.44%,-23.95%,-10.98%,-5.88%,9.99%,-2.23%,-34.33%,-5.28%,24.20%,-13.20%,106.33%,85.04%,40.89%,126.45%,-21.68%,-21.97%,4.63%,69.01%,41.86%,89.96%,25.68%,-46.77%,90.93%,6.87%,2.73%,23.80%,-57.03%,Upgrade
"Property, Plant & Equipment","3,735","3,858","3,155","3,177","3,207","3,305","3,262","3,295","3,388","3,468","3,516","3,616","3,660","3,702","3,673","3,690","3,686","2,457","2,438","2,431","2,441","2,432","2,402","2,413","2,432","2,443","2,449","2,459","2,486","2,513","2,515","2,551","2,575","2,618","2,608","2,614","2,589","2,606","2,608","2,622",Upgrade
Goodwill and Intangibles,"19,443","19,528","14,729","14,644","14,444","14,000","13,524","13,274","13,367","12,782","12,543","12,360","12,465","12,878","12,615","12,709","12,888","12,761","13,074","12,840","12,828","12,662","12,563","12,577","12,661","12,647","12,244","12,211","12,410","12,711","12,544","12,599","12,396","12,551","12,739","12,759","12,626","12,734","12,628","12,443",Upgrade
Total Assets,"682,377","674,805","600,973","591,381","586,517","573,284","567,495","558,886","553,375","553,905","540,455","546,652","542,909","495,426","487,671","481,719","475,775","467,374","464,607","461,329","460,119","462,040","459,227","463,844","449,522","445,964","454,134","438,463","428,638","421,853","415,943","419,075","410,233","402,529","391,284","389,065","371,289","364,021","360,681","353,415",Upgrade
Total Liabilities,"628,923","623,573","552,995","542,312","534,849","517,897","513,117","505,212","501,067","500,180","487,260","494,172","490,747","442,943","433,524","428,179","423,089","415,717","413,600","411,072","410,307","412,374","409,876","414,895","401,089","398,031","405,735","390,434","381,245","375,036","370,176","373,844","365,268","358,361","347,455","345,679","328,546","322,214","319,129","312,365",Upgrade
Total Debt,"98,920","71,045","57,294","54,371","53,973","43,921","51,759","49,773","49,517","53,063","56,166","63,174","78,642","63,890","55,853","56,040","56,076","55,479","64,762","55,308","50,904","48,910","50,371","52,226","48,131","47,286","53,673","55,374","58,649","59,955","59,419","61,925","63,330","62,153","60,813","54,992","54,555","47,657","44,878","45,903",Upgrade
Debt Growth,83.28%,61.76%,10.69%,9.24%,9.00%,-17.23%,-7.85%,-21.21%,-37.03%,-16.95%,0.56%,12.73%,40.24%,15.16%,-13.76%,1.32%,10.16%,13.43%,28.57%,5.90%,5.76%,3.43%,-6.15%,-5.68%,-17.93%,-21.13%,-9.67%,-10.58%,-7.39%,-3.54%,-2.29%,12.61%,16.08%,30.42%,35.51%,19.80%,4.18%,-8.03%,-17.07%,-22.86%,Upgrade
Common Stock,"-9,665","-9,728","-11,769","-11,806","-11,849","-12,340","-12,762","-12,798","-11,967","-11,415","-11,438","-11,474","-11,515","-9,960","-7,729","-6,995","-6,262","-5,714","-4,930","-4,799","-4,169","-3,698","-3,081","-2,467","-1,832","-1,318",-893,-317,232,773,383,968,"1,528","1,845","2,234","2,809","3,320","3,517","3,791","4,264",Upgrade
Retained Earnings,"72,807","71,901","71,782","70,772","69,987","69,201","68,297","67,039","65,740","64,188","63,391","62,526","62,544","63,186","62,419","61,252","60,092","59,065","57,878","56,742","55,549","54,142","53,023","52,033","51,069","50,151","49,231","48,269","47,267","46,377","45,413","44,434","43,463","42,530","41,543","40,573","39,584","38,667","37,692","36,707",Upgrade
Comprehensive Income,"-10,153","-11,407","-12,500","-10,361","-6,938","-1,943","-1,792","-1,202","-2,095",322,612,798,503,"-1,373","-1,173","-1,344","-1,773","-2,322","-2,573","-2,315","-2,193","-1,404","-1,219","-1,246","-1,439","-1,535",-579,-562,-744,"-1,019",-721,-865,-714,-896,-636,-682,-850,"-1,071","-1,351","-1,288",Upgrade
