Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.03,0.03,0.03,0.03,0.21,0.42,0.52,1.4,0
Cash & Cash Equivalents,0.03,0.03,0.03,0.03,0.21,0.42,0.52,1.4,0
Cash Growth,-86.87%,-93.26%,-94.51%,-97.93%,-,-,-,-,-
Other Current Assets,0.09,0.21,0.33,0.4,0.41,0.42,0.42,0.82,0.06
Total Current Assets,0.12,0.24,0.36,0.43,0.62,0.84,0.95,2.22,0.06
Long-Term Investments,278.98,276.66,275.42,275.05,275.02,275.01,275.01,250,0
Other Long-Term Assets,0,0,0,0,0.09,0.19,0.3,0,0
Total Long-Term Assets,278.98,276.66,275.42,275.05,275.11,275.2,275.3,250,0
Total Assets,279.1,276.9,275.77,275.47,275.73,276.04,276.25,252.22,0.06
Accounts Payable,1.51,1.33,1.24,1.42,1.22,0.08,0.13,0.82,0.05
Current Debt,0,0.56,0.5,0.08,0.08,0,0,0,0
Other Current Liabilities,0,0,0.02,0,0,0,0,0,0
Total Current Liabilities,1.51,1.89,1.75,1.5,1.3,0.08,0.13,0.82,0.05
Long-Term Debt,0.75,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,9.8,10.32,10.48,13.13,20.97,18.85,23.24,25.73,0
Total Long-Term Liabilities,10.55,10.32,10.48,13.13,20.97,18.85,23.24,25.73,0
Total Liabilities,12.07,12.21,12.23,14.62,22.27,18.93,23.37,26.55,0.05
Total Debt,0.75,0.56,0.5,0.08,0.08,0,0,0,0
Debt Growth,874.03%,-,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.76,5.39,0.03
Retained Earnings,-11.95,-11.97,-11.88,-14.15,-21.54,-17.89,4.24,-0.39,-0.01
Shareholders' Equity,-11.95,-11.97,-11.88,-14.15,-21.54,-17.89,5,5,0.01
Total Liabilities and Equity,0.12,0.24,0.36,0.47,0.73,1.04,28.37,31.55,0.06
Net Cash / Debt,-0.72,-0.53,-0.47,-0.05,0.14,0.42,0.52,1.4,0
Net Cash Per Share,-0.02,-0.02,-0.01,-0.00,0.00,0.01,0.02,0.04,-
Working Capital,-1.4,-1.65,-1.4,-1.07,-0.68,0.76,0.81,1.4,0.01
Book Value Per Share,-0.35,-0.35,-0.35,-0.41,-0.77,-0.52,0.15,0.15,0.00
