Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,465,552,382,457,583,537,-,-,-,654
Cash & Cash Equivalents,465,552,382,457,583,537,0,0,0,654
Cash Growth,-20.24%,2.79%,-,-,-,-17.89%,-,-,-,-
Receivables,745,916,695,"1,187","1,103",884,-,-,-,860
Total Assets,"366,691","360,322","354,595","368,271","394,667","416,212",-,-,-,"410,155"
Total Liabilities,"354,226","350,003","346,204","355,122","373,539","387,284",-,-,-,"370,323"
Total Debt,"12,059","15,326","15,363","15,559","15,659","15,680",-,-,-,"11,246"
Debt Growth,-22.99%,-2.26%,-,-,-,39.43%,-,-,-,-
Common Stock,"8,030","8,036","8,036","8,039","8,040","8,060",-,-,-,"22,579"
Retained Earnings,"17,592","18,207","16,783","14,643","12,030","8,859",-,-,-,0
Comprehensive Income,"-14,067","-16,863","-17,290","-10,799",-589,"10,167",-,-,-,"14,653"
Shareholders' Equity,"11,555","9,380","7,529","11,883","19,481","27,086",-,-,-,"37,232"
Total Liabilities and Equity,"365,781","359,383","353,733","367,005","393,020","414,370",-,-,-,"407,555"
Net Cash / Debt,"-11,594","-14,774","-14,981","-15,102","-15,076","-15,143",0,0,0,"-10,592"
Net Cash Per Share,-17.81,-,-23.18,-23.41,-23.37,-23.48,-,-,-,-
Book Value Per Share,17.75,14.54,11.66,18.42,30.20,41.99,-,-,-,57.72
