Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.64,0.86,1.23,16.11,0,-
Cash & Cash Equivalents,0.64,0.86,1.23,16.11,0,0
Other Current Assets,0.51,0.52,0.53,-,0.49,-
Total Current Assets,1.15,1.37,1.76,-,0.49,-
Long-Term Investments,270.28,267.98,266.77,-,0,-
Other Long-Term Assets,0.18,0.31,0.44,-,0,-
Total Long-Term Assets,270.46,268.29,267.21,-,0,-
Total Assets,271.61,269.66,268.97,16.77,0.49,-
Accounts Payable,0.04,0.02,0.27,0.35,0.33,-
Other Current Liabilities,0.21,0.08,0.08,16.39,0.15,-
Total Current Liabilities,0.25,0.1,0.34,16.75,0.47,-
Other Long-Term Liabilities,1.48,2.9,4.35,0,0,-
Total Long-Term Liabilities,1.48,2.9,4.35,0,0,-
Total Liabilities,1.73,3,4.7,16.75,0.47,-
Common Stock,0,0,0,0.03,0.03,-
Retained Earnings,-0.4,-1.32,-2.5,-0,-0,-
Shareholders' Equity,-0.4,-1.32,-2.5,0.02,0.02,-
Total Liabilities and Equity,1.33,1.68,2.2,16.77,0.49,-
Net Cash / Debt,0.64,0.86,1.23,16.11,0,0
Net Cash Per Share,0.03,0.03,0.06,2.86,-,-
Working Capital,0.9,1.27,1.42,-,0.02,-
Book Value Per Share,-0.02,-0.04,-0.12,0.00,0.00,-
