Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-08
Cash & Equivalents,0,0.05,0.09,0.11,0.73,0,0,0
Short-Term Investments,37.76,70.69,0,0,0,0,0,0
Cash & Cash Equivalents,37.76,70.75,0.09,0.11,0.73,0,0,0
Cash Growth,5100.83%,-,-,-,-,-,-,-
Other Current Assets,0.15,0.04,0.12,0.2,0.25,0.28,0.04,0.08
Total Current Assets,37.91,70.79,0.21,0.31,0.97,0.28,0.04,0.08
Long-Term Investments,0,0,70.11,69.79,69.7,0,0,0
Other Long-Term Assets,0,0,0,0,0,0,0.21,0.06
Total Long-Term Assets,0,0,70.11,69.79,69.7,0,0.21,0.06
Total Assets,37.91,70.79,70.31,70.1,70.67,0.28,0.25,0.14
Accounts Payable,0.28,0.05,0.05,0.05,0.19,0,0,0
Current Debt,0.52,0,0,0,0.4,0.22,0.2,0.1
Other Current Liabilities,2.42,2.42,0,0,0,0.04,0.03,0.01
Total Current Liabilities,3.21,2.47,0.05,0.05,0.59,0.25,0.22,0.12
Other Long-Term Liabilities,0,0,2.42,2.42,2.42,0,0,0
Total Long-Term Liabilities,0,0,2.42,2.42,2.42,0,0,0
Total Liabilities,3.21,2.47,2.47,2.47,3,0.25,0.22,0.12
Total Debt,0.52,0,0,0,0.4,0.22,0.2,0.1
Debt Growth,28.75%,-,-,-,-,-,-,-
Common Stock,0,0.49,3.83,6.95,9.94,0.03,0.03,0.03
Retained Earnings,-3.06,0.5,0.02,-0.18,-0.16,-0,-0,-0
Shareholders' Equity,-3.06,0.98,3.85,6.76,9.79,0.02,0.02,0.02
Total Liabilities and Equity,0.15,3.45,6.32,9.23,12.79,0.28,0.25,0.14
Net Cash / Debt,37.25,70.75,0.09,0.11,0.33,-0.22,-0.2,-0.1
Net Cash / Debt Growth,11322.75%,-,-,-,-,-,-,-
Net Cash Per Share,5.30,8.13,0.01,0.01,0.07,-0.15,-0.11,-
Working Capital,34.7,68.32,0.16,0.26,0.39,0.02,-0.19,-0.04
Book Value Per Share,-0.44,0.11,0.44,0.78,2.02,0.01,0.01,-
