Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,1.86,0.63,0.07,1.94,3.59,1.52
Cash & Cash Equivalents,1.86,0.63,0.07,1.94,-,-
Total Current Assets,-,-,-,-,-,1.52
Long-Term Investments,18.06,15.34,20.09,14.1,11.06,13.13
Total Long-Term Assets,-,-,-,-,-,13.13
Total Assets,-,-,-,-,-,14.65
Accounts Payable,0.13,0.05,0.11,1.96,1.14,0.04
Total Current Liabilities,0.13,0.05,0.11,1.96,1.14,0.04
Long-Term Debt,2.33,2.1,5.33,0.01,0.01,0.02
Total Long-Term Liabilities,2.33,2.1,5.33,0.01,0.01,0.02
Total Liabilities,2.47,2.15,5.43,1.97,1.15,0.06
Total Debt,2.33,2.1,5.33,0.01,-,-
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01
Retained Earnings,-2.26,-2.22,-2.74,-3.04,-3.34,-3.86
Shareholders' Equity,-2.25,-2.21,-2.73,-3.03,-3.33,-3.85
Total Liabilities and Equity,0.22,-0.06,2.7,-1.06,-,-
Net Cash / Debt,-0.47,-1.47,-5.25,1.93,-,-
Net Cash Per Share,-0.09,-0.31,-1.10,-,-,-
Book Value Per Share,-0.41,-0.46,-0.57,-,-,-
