Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-05
Cash & Equivalents,0.05,0.09,0.14,0.26,0.5,0,0.04,0
Cash & Cash Equivalents,0.05,0.09,0.14,0.26,0.5,0,0.04,0
Cash Growth,-90.44%,35171.70%,211.00%,-,-,-,-,-
Other Current Assets,0.31,0.4,0.42,0.44,0.4,0,-,-
Total Current Assets,0.36,0.49,0.56,0.69,0.9,0,-,-
Long-Term Investments,234.72,233.44,232.49,232.4,232.32,0,-,-
Other Long-Term Assets,0,0.02,0.12,0.21,0.3,0.71,-,-
Total Long-Term Assets,234.72,233.46,232.6,232.61,232.62,0.71,-,-
Total Assets,235.08,233.95,233.16,233.31,233.53,0.71,0.64,0.06
Accounts Payable,0.68,0.23,0.22,0,0,0.01,0.01,0
Current Debt,0.2,0,0,0.22,0.21,0.17,0.17,0
Other Current Liabilities,3.13,1.56,0.3,0.23,0.18,0.53,0.45,0.05
Total Current Liabilities,4.01,1.8,0.51,0.45,0.39,0.72,0.64,0.05
Other Long-Term Liabilities,0.96,2.18,10.17,16.55,20.63,0,0,0
Total Long-Term Liabilities,0.96,2.18,10.17,16.55,20.63,0,0,0
Total Liabilities,4.97,3.98,10.68,17,21.03,0.72,0.64,0.05
Total Debt,0.2,0,0,0.22,0.21,0.17,0.17,0
Debt Growth,-4.06%,-,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-4.51,-3.37,-9.91,-16,-19.8,-0.03,-0.03,-0.01
Shareholders' Equity,-4.51,-3.37,-9.91,-16,-19.8,-0.01,-0.01,0.01
Total Liabilities and Equity,0.46,0.61,0.77,1.01,1.23,0.71,0.64,0.06
Net Cash / Debt,-0.15,0.09,0.14,0.03,0.29,-0.17,-0.13,0
Net Cash Per Share,-0.01,0.00,0.00,0.00,0.03,-0.03,-0.03,-
Working Capital,-3.65,-1.31,0.04,0.24,0.51,-0.72,-,-
Book Value Per Share,-0.16,-0.12,-0.34,-0.56,-1.93,-0.00,-0.00,-
